id,nb_days,payment_id,create_uid,write_uid,value,delay_type,value_amount,create_date,write_date,days_next_month
1,0,1,1,1,percent,days_after,100.000000,2024-04-18 07:46:48.92483,2024-04-18 07:46:48.92483,10
2,15,2,1,1,percent,days_after,100.000000,2024-04-18 07:46:48.92483,2024-04-18 07:46:48.92483,10
3,21,3,1,1,percent,days_after,100.000000,2024-04-18 07:46:48.92483,2024-04-18 07:46:48.92483,10
4,30,4,1,1,percent,days_after,100.000000,2024-04-18 07:46:48.92483,2024-04-18 07:46:48.92483,10
5,45,5,1,1,percent,days_after,100.000000,2024-04-18 07:46:48.92483,2024-04-18 07:46:48.92483,10
6,0,6,1,1,percent,days_after_end_of_next_month,100.000000,2024-04-18 07:46:48.92483,2024-04-18 07:46:48.92483,10
7,10,7,1,1,percent,days_after_end_of_next_month,100.000000,2024-04-18 07:46:48.92483,2024-04-18 07:46:48.92483,10
8,0,8,1,1,percent,days_after,30.000000,2024-04-18 07:46:48.92483,2024-04-18 07:46:48.92483,10
9,60,8,1,1,percent,days_after,70.000000,2024-04-18 07:46:48.92483,2024-04-18 07:46:48.92483,10
10,30,9,1,1,percent,days_after,100.000000,2024-04-18 07:46:48.92483,2024-04-18 07:46:48.92483,10
