id,report_id,hierarchy_level,parent_id,sequence,action_id,create_uid,write_uid,groupby,user_groupby,code,name,foldable,print_on_new_page,hide_if_zero,create_date,write_date
1,4,1,,30,,1,1,,,,"{""en_US"": ""Section 206C(1): Alcoholic Liquor for human consumption""}",,,,2024-04-18 07:47:49.092537,2024-04-18 07:47:49.092537
2,4,1,,40,,1,1,,,,"{""en_US"": ""Section 206C(1): Tendu leaves""}",,,,2024-04-18 07:47:49.092537,2024-04-18 07:47:49.092537
3,4,1,,50,,1,1,,,,"{""en_US"": ""Section 206C(1): Timber obtained under a forest lease""}",,,,2024-04-18 07:47:49.092537,2024-04-18 07:47:49.092537
4,4,1,,60,,1,1,,,,"{""en_US"": ""Section 206C(1): Timber obtained by any mode other than under a forest lease""}",,,,2024-04-18 07:47:49.092537,2024-04-18 07:47:49.092537
5,4,1,,70,,1,1,,,,"{""en_US"": ""Section 206C(1): Any other forest produce not being timber or tendu leaves""}",,,,2024-04-18 07:47:49.092537,2024-04-18 07:47:49.092537
6,4,1,,80,,1,1,,,,"{""en_US"": ""Section 206C(1): Scrap""}",,,,2024-04-18 07:47:49.092537,2024-04-18 07:47:49.092537
7,4,1,,90,,1,1,,,,"{""en_US"": ""Section 206C(1): Minrals, being coal or lignite or iron ore""}",,,,2024-04-18 07:47:49.092537,2024-04-18 07:47:49.092537
8,4,1,,100,,1,1,,,,"{""en_US"": ""Section 206C(1C): Parking lot""}",,,,2024-04-18 07:47:49.092537,2024-04-18 07:47:49.092537
9,4,1,,110,,1,1,,,,"{""en_US"": ""Section 206C(1C): Toll plaza""}",,,,2024-04-18 07:47:49.092537,2024-04-18 07:47:49.092537
10,4,1,,120,,1,1,,,,"{""en_US"": ""Section 206C(1C): Mining and quarrying""}",,,,2024-04-18 07:47:49.092537,2024-04-18 07:47:49.092537
11,4,1,,130,,1,1,,,,"{""en_US"": ""Section 206C(1F): Motor Vehicle""}",,,,2024-04-18 07:47:49.092537,2024-04-18 07:47:49.092537
12,4,1,,140,,1,1,,,,"{""en_US"": ""Section 206C(1G): Sum of money (above 7 lakhs) for remittance out of India""}",,,,2024-04-18 07:47:49.092537,2024-04-18 07:47:49.092537
13,4,1,,150,,1,1,,,,"{""en_US"": ""Section 206C(1G): Seller of an overseas tour program package""}",,,,2024-04-18 07:47:49.092537,2024-04-18 07:47:49.092537
14,4,1,,160,,1,1,,,,"{""en_US"": ""Section 206C(1H): Sale of Goods""}",,,,2024-04-18 07:47:49.092537,2024-04-18 07:47:49.092537
15,5,1,,30,,1,1,,,,"{""en_US"": ""Section 192: Payment of salary""}",,,,2024-04-18 07:47:49.092537,2024-04-18 07:47:49.092537
16,5,1,,40,,1,1,,,,"{""en_US"": ""Section 192A: Payment of accumulated balance of provident fund which is taxable in the hands of an employee""}",,,,2024-04-18 07:47:49.092537,2024-04-18 07:47:49.092537
