id,sequence,company_id,tax_payable_account_id,tax_receivable_account_id,advance_tax_payment_account_id,country_id,create_uid,write_uid,preceding_subtotal,name,create_date,write_date
1,10,1,30,9,,104,1,1,,"{""en_US"": ""SGST""}",2024-04-18 07:47:52.331217,2024-04-18 07:47:52.331217
2,10,1,30,9,,104,1,1,,"{""en_US"": ""CGST""}",2024-04-18 07:47:52.331217,2024-04-18 07:47:52.331217
3,10,1,30,9,,104,1,1,,"{""en_US"": ""IGST""}",2024-04-18 07:47:52.331217,2024-04-18 07:47:52.331217
4,10,1,30,9,,104,1,1,,"{""en_US"": ""CESS""}",2024-04-18 07:47:52.331217,2024-04-18 07:47:52.331217
5,10,1,30,9,,104,1,1,,"{""en_US"": ""GST""}",2024-04-18 07:47:52.331217,2024-04-18 07:47:52.331217
6,10,1,30,9,,104,1,1,,"{""en_US"": ""Exempt""}",2024-04-18 07:47:52.331217,2024-04-18 07:47:52.331217
7,10,1,30,9,,104,1,1,,"{""en_US"": ""Nil Rated""}",2024-04-18 07:47:52.331217,2024-04-18 07:47:52.331217
8,10,1,30,9,,104,1,1,,"{""en_US"": ""Non GST Supplies""}",2024-04-18 07:47:52.331217,2024-04-18 07:47:52.331217
9,100,1,30,9,,104,1,1,,"{""en_US"": ""TCS""}",2024-04-18 07:47:52.331217,2024-04-18 07:47:52.331217
10,100,1,30,9,,104,1,1,,"{""en_US"": ""TDS""}",2024-04-18 07:47:52.331217,2024-04-18 07:47:52.331217
