id,partner_id,guest_id,channel_id,fetched_message_id,seen_message_id,rtc_inviting_session_id,create_uid,write_uid,custom_channel_name,fold_state,custom_notifications,is_minimized,is_pinned,mute_until_dt,last_interest_dt,last_seen_dt,create_date,write_date
1,3,,1,1,1,,1,1,,open,,,t,,2024-04-18 07:40:36,,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
4,14,,1,,,,2,2,,open,,,t,,2024-04-19 17:35:04,,2024-04-19 17:35:04.625803,2024-04-19 17:35:04.625803
5,17,,1,,,,2,2,,open,,,t,,2024-04-21 17:12:52,,2024-04-21 17:12:52.190809,2024-04-21 17:12:52.190809
6,16,,1,,,,2,2,,open,,,t,,2024-04-22 14:41:23,,2024-04-22 14:41:23.242425,2024-04-22 14:41:23.242425
7,18,,1,,,,2,2,,open,,,t,,2024-04-22 14:42:15,,2024-04-22 14:42:15.562867,2024-04-22 14:42:15.562867
9,18,,3,99,99,,12,12,,open,,,t,,2024-04-22 14:43:06,2024-04-22 14:43:06,2024-04-22 14:43:06.057583,2024-04-22 14:43:06.057583
8,2,,3,,,,12,12,,open,,,t,,2024-04-22 14:43:06,,2024-04-22 14:43:06.057583,2024-04-22 14:43:06.057583
11,17,,4,102,102,,11,11,,open,,,t,,2024-04-23 04:46:55,2024-04-23 04:46:55,2024-04-23 04:46:55.821884,2024-04-23 04:46:55.821884
10,2,,4,,,,11,11,,open,,,t,,2024-04-23 04:46:55,,2024-04-23 04:46:55.821884,2024-04-23 04:46:55.821884
13,16,,5,105,105,,10,10,,open,,,t,,2024-04-23 06:20:41,2024-04-23 06:20:41,2024-04-23 06:20:41.032819,2024-04-23 06:20:41.032819
12,2,,5,,,,10,10,,open,,,t,,2024-04-23 06:20:41,,2024-04-23 06:20:41.032819,2024-04-23 06:20:41.032819
3,3,,2,112,112,,2,2,,open,,,t,,2024-04-23 07:02:31,2024-04-23 07:02:31,2024-04-18 07:41:42.236093,2024-04-23 07:02:31.785431
2,2,,2,,,,2,2,,open,,,t,,2024-04-23 07:02:31,,2024-04-18 07:41:42.236093,2024-04-23 07:02:31.785431
14,19,,1,,,,2,2,,open,,,t,,2024-04-23 07:25:24,,2024-04-23 07:25:24.374752,2024-04-23 07:25:24.374752
15,2,,6,,,,13,13,,open,,,t,,2024-04-23 07:44:52,,2024-04-23 07:35:58.497389,2024-04-23 07:44:52.943396
16,19,,6,127,127,,13,13,,open,,,t,,2024-04-23 07:44:52,2024-04-23 07:44:53,2024-04-23 07:35:58.497389,2024-04-23 07:44:52.943396
19,23,,1,,,,2,2,,open,,,t,,2024-04-23 09:24:48,,2024-04-23 09:24:47.776495,2024-04-23 09:24:47.776495
