id,binding_model_id,create_uid,write_uid,type,binding_type,binding_view_types,name,help,create_date,write_date,paperformat_id,model,report_type,report_name,report_file,attachment,print_report_name,multi,attachment_use
36,3,1,1,ir.actions.report,report,"list,form","{""en_US"": ""Model Overview""}",,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233,,ir.model,qweb-pdf,base.report_irmodeloverview,base.report_irmodeloverview,,,,
41,66,1,1,ir.actions.report,report,"list,form","{""en_US"": ""Technical guide""}",,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233,,ir.module.module,qweb-pdf,base.report_irmodulereference,base.report_irmodulereference,,,,
77,94,1,1,ir.actions.report,report,"list,form","{""en_US"": ""Preview Internal Report""}",,2024-04-18 07:38:51.528016,2024-04-18 07:38:51.528016,,res.company,qweb-pdf,web.preview_internalreport,web.preview_internalreport,,,,
78,94,1,1,ir.actions.report,report,"list,form","{""en_US"": ""Preview External Report""}",,2024-04-18 07:38:51.528016,2024-04-18 07:38:51.528016,,res.company,qweb-pdf,web.preview_externalreport,web.preview_externalreport,,,,
79,94,1,1,ir.actions.report,report,"list,form","{""en_US"": ""Report Layout Preview""}",,2024-04-18 07:38:51.528016,2024-04-18 07:38:51.528016,,res.company,qweb-pdf,web.preview_layout_report,web.preview_layout_report,,,,
163,356,1,1,ir.actions.report,report,"list,form","{""en_US"": ""Print Badge""}",,2024-04-18 07:40:41.811291,2024-04-18 07:40:41.811291,,hr.employee,qweb-pdf,hr.print_employee_badge,hr.print_employee_badge,,"{""en_US"": ""'Badge - %s' % (object.name).replace('/', '')""}",,
204,,1,1,ir.actions.report,report,"list,form","{""en_US"": ""Employee Resume""}",,2024-04-18 07:40:49.793622,2024-04-18 07:40:49.793622,4,hr.employee,qweb-pdf,hr_skills.report_employee_cv,hr_skills.report_employee_cv,,"{""en_US"": ""'CV - %s' % (object.name)""}",,
231,433,1,1,ir.actions.report,report,"list,form","{""en_US"": ""Student ID Card""}",,2024-04-18 07:41:05.464971,2024-04-18 07:41:05.464971,,op.student,qweb-pdf,tarcin_core.report_student_idcard,tarcin_core.report_student_idcard,,"{""en_US"": ""'Student ID Card - %s' % (object.name)""}",,
232,433,1,1,ir.actions.report,report,"list,form","{""en_US"": ""Bonafide Certificate""}",,2024-04-18 07:41:05.464971,2024-04-18 07:41:05.464971,,op.student,qweb-pdf,tarcin_core.report_student_bonafide,tarcin_core.report_student_bonafide,,"{""en_US"": ""'Bonafide Certificate - %s' % (object.name)""}",,
277,468,1,1,ir.actions.report,report,"list,form","{""en_US"": ""Certifications""}",,2024-04-18 07:41:14.668723,2024-04-18 07:41:14.668723,5,survey.user_input,qweb-pdf,survey.certification_report_view,survey.certification_report_view,'certification.pdf',"{""en_US"": ""'Certification - %s' % (object.survey_id.display_name)""}",,
