id,binding_model_id,create_uid,write_uid,type,binding_type,binding_view_types,name,help,create_date,write_date,view_id,res_id,limit,search_view_id,domain,context,res_model,target,view_mode,mobile_view_mode,usage,filter
1,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Load demo data""}",,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233,,,80,,,{},ir.demo,new,form,kanban,,
4,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Decimal Accuracy""}",,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233,,,80,,,{},decimal.precision,current,"tree,form",kanban,,
5,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Actions""}",,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233,7,,80,8,,{},ir.actions.actions,current,"tree,form",kanban,,
6,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Reports""}",,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233,10,,80,11,,{},ir.actions.report,current,"tree,form",kanban,,
7,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Window Actions""}",,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233,,,80,15,,{},ir.actions.act_window,current,"tree,form",kanban,,
8,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Client Actions""}",,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233,16,,80,,,{},ir.actions.client,current,"tree,form",kanban,,
9,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Server Actions""}",,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233,18,,80,19,,{'key':'server_action'},ir.actions.server,current,"tree,form",kanban,,
10,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Configuration Wizards""}","{""en_US"": ""<p>The configuration wizards are used to help you configure a new instance of Odoo. They are launched during the installation of new modules, but you can choose to restart some wizards manually from this menu.</p>""}",2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233,20,,80,,,{},ir.actions.todo,current,"tree,form",kanban,,
12,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Assets""}",,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233,24,,80,,,{'search_default_active': 1},ir.asset,current,"tree,form",kanban,,
13,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""System Parameters""}",,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233,,,80,,,{},ir.config_parameter,current,"tree,form",kanban,,
15,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Scheduled Actions Triggers""}",,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233,,,80,,,{},ir.cron.trigger,current,"tree,form",kanban,,
16,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""User-defined Filters""}",,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233,,,80,,,{},ir.filters,current,"tree,form",kanban,,
17,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Outgoing Mail Servers""}",,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233,40,,80,41,,{},ir.mail_server,current,"tree,form",kanban,,
18,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Create Menu""}",,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233,,,80,,,{'model_id': active_id},wizard.ir.model.menu.create,new,form,kanban,,
19,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Models""}",,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233,44,,80,,,{},ir.model,current,"tree,form",kanban,,
20,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Fields""}",,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233,47,,80,,,{},ir.model.fields,current,"tree,form",kanban,,
21,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Fields Selection""}",,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233,50,,80,,,{},ir.model.fields.selection,current,"tree,form",kanban,,
22,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""External Identifiers""}",,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233,53,,80,,,{},ir.model.data,current,"tree,form",kanban,,
23,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Model Constraints""}",,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233,56,,80,57,,{},ir.model.constraint,current,"tree,form",kanban,,
24,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""ManyToMany Relations""}",,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233,59,,80,,,{},ir.model.relation,current,"tree,form",kanban,,
25,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Access Rights""}",,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233,61,,80,63,,{},ir.model.access,current,"tree,form",kanban,,
27,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Record Rules""}",,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233,68,,80,69,,{},ir.rule,current,"tree,form",kanban,,
28,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Sequences""}",,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233,71,,80,,,{'active_test': False},ir.sequence,current,"tree,form",kanban,,
29,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Menu Items""}","{""en_US"": ""<p>Manage and customize the items available and displayed in your Odoo system menu. You can delete an item by clicking on the box at the beginning of each line and then delete it through the button that appeared. Items can be assigned to specific groups in order to make them accessible to some users within the system.</p>""}",2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233,74,,80,75,,{'ir.ui.menu.full_list':True},ir.ui.menu,current,"tree,form",kanban,,
