id,sequence,view_id,act_window_id,create_uid,write_uid,view_mode,multi,create_date,write_date
1,1,13,7,1,1,tree,,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
2,2,14,7,1,1,form,,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
3,0,128,55,1,1,kanban,,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
4,2,125,55,1,1,form,,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
5,1,122,55,1,1,tree,,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
6,1,128,56,1,1,kanban,,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
7,2,122,56,1,1,tree,,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
8,3,125,56,1,1,form,,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
9,1,128,57,1,1,kanban,,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
10,2,122,57,1,1,tree,,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
11,3,125,57,1,1,form,,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
12,10,163,69,1,1,tree,,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
13,20,162,69,1,1,form,,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
14,10,169,71,1,1,form,,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
15,1,,122,1,1,tree,,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
16,2,330,122,1,1,form,,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
17,1,334,123,1,1,tree,,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
18,2,331,123,1,1,form,,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
19,1,337,124,1,1,tree,,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
20,2,338,124,1,1,form,,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
21,1,337,156,1,1,tree,,2024-04-18 07:40:41.811291,2024-04-18 07:40:41.811291
22,2,427,156,1,1,form,,2024-04-18 07:40:41.811291,2024-04-18 07:40:41.811291
23,,1209,219,1,1,kanban,,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475
