id,binding_model_id,create_uid,write_uid,type,binding_type,binding_view_types,name,help,create_date,write_date
1,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Load demo data""}",,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
4,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Decimal Accuracy""}",,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
5,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Actions""}",,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
6,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Reports""}",,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
7,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Window Actions""}",,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
8,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Client Actions""}",,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
9,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Server Actions""}",,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
10,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Configuration Wizards""}","{""en_US"": ""<p>The configuration wizards are used to help you configure a new instance of Odoo. They are launched during the installation of new modules, but you can choose to restart some wizards manually from this menu.</p>""}",2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
12,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Assets""}",,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
13,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""System Parameters""}",,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
15,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Scheduled Actions Triggers""}",,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
16,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""User-defined Filters""}",,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
17,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Outgoing Mail Servers""}",,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
18,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Create Menu""}",,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
19,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Models""}",,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
20,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Fields""}",,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
21,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Fields Selection""}",,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
22,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""External Identifiers""}",,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
23,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Model Constraints""}",,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
