id,sequence,create_uid,write_uid,name,bundle,directive,path,target,active,create_date,write_date,website_id,theme_template_id,key
1,16,1,1,13 0 color system support primary variables SCSS,web._assets_primary_variables,append,web_editor/static/src/scss/13_0_color_system_support_primary_variables.scss,,f,2024-04-18 07:38:54.945631,2024-04-18 07:38:54.945631,,,
2,99,1,1,User custom bootstrap overridden SCSS,web._assets_frontend_helpers,prepend,website/static/src/scss/user_custom_bootstrap_overridden.scss,,t,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475,,,
3,99,1,1,User custom rules SCSS,web.assets_frontend,append,website/static/src/scss/user_custom_rules.scss,,t,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475,,,
4,16,1,1,Website Configurator Tour,website.assets_editor,append,website/static/src/js/tours/configurator_tour.js,,f,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475,,,website.configurator_tour
5,16,1,1,Ripple effect SCSS,web.assets_frontend,append,/website/static/src/scss/options/ripple_effect.scss,,f,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475,,,website.ripple_effect_scss
6,16,1,1,Ripple effect JS,web.assets_frontend,append,/website/static/src/js/content/ripple_effect.js,,f,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475,,,website.ripple_effect_js
8,16,1,1,Text cover 000 SCSS,web.assets_frontend,append,website/static/src/snippets/s_text_cover/000.scss,,t,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475,,,
9,16,1,1,Instagram Page 000 JS,web.assets_frontend,append,website/static/src/snippets/s_instagram_page/000.js,,t,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475,,,
10,16,1,1,Instagram Page 000 SCSS,web.assets_frontend,append,website/static/src/snippets/s_instagram_page/000.scss,,t,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475,,,
11,16,1,1,Three columns 000 SCSS,web.assets_frontend,append,website/static/src/snippets/s_three_columns/000.scss,,f,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475,,,
12,16,1,1,Alert 000 SCSS,web.assets_frontend,append,website/static/src/snippets/s_alert/000.scss,,t,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475,,,
13,16,1,1,Card 000 SCSS,web.assets_frontend,append,website/static/src/snippets/s_card/000.scss,,t,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475,,,
14,16,1,1,Share 000 SCSS,web.assets_frontend,append,website/static/src/snippets/s_share/000.scss,,t,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475,,,
15,16,1,1,Share 000 JS,web.assets_frontend,append,website/static/src/snippets/s_share/000.js,,t,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475,,,
16,16,1,1,SocialMedia 000 SCSS,web.assets_frontend,append,website/static/src/snippets/s_social_media/000.scss,,t,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475,,,
17,16,1,1,Rating 000 SCSS,web.assets_frontend,append,website/static/src/snippets/s_rating/000.scss,,f,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475,,,
18,16,1,1,Rating 001 SCSS,web.assets_frontend,append,website/static/src/snippets/s_rating/001.scss,,t,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475,,,
19,16,1,1,Hr 000 SCSS,web.assets_frontend,append,website/static/src/snippets/s_hr/000.scss,,t,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475,,,
20,16,1,1,Facebook page 000 JS,web.assets_frontend,append,website/static/src/snippets/s_facebook_page/000.js,,t,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475,,,
21,16,1,1,Image gallery 000 JS,web.assets_frontend,append,website/static/src/snippets/s_image_gallery/000.js,,t,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475,,,
22,16,1,1,Image gallery 000 SCSS,web.assets_frontend,append,website/static/src/snippets/s_image_gallery/000.scss,,f,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475,,,
23,16,1,1,Image gallery 001 SCSS,web.assets_frontend,append,website/static/src/snippets/s_image_gallery/001.scss,,t,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475,,,
24,16,1,1,Image gallery 000 XML,web.assets_frontend,append,website/static/src/snippets/s_image_gallery/000.xml,,t,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475,,,
25,16,1,1,Countdown 000 JS,web.assets_frontend,append,website/static/src/snippets/s_countdown/000.js,,t,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475,,,
26,16,1,1,Countdown 000 XML,web.assets_frontend,append,website/static/src/snippets/s_countdown/000.xml,,t,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475,,,
27,16,1,1,Product catalog 001 SCSS,web.assets_frontend,append,website/static/src/snippets/s_product_catalog/001.scss,,t,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475,,,
28,16,1,1,Comparisons 000 SCSS,web.assets_frontend,append,website/static/src/snippets/s_comparisons/000.scss,,t,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475,,,
29,16,1,1,Company team 000 SCSS,web.assets_frontend,append,website/static/src/snippets/s_company_team/000.scss,,t,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475,,,
30,16,1,1,References 000 SCSS,web.assets_frontend,append,website/static/src/snippets/s_references/000.scss,,t,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475,,,
31,16,1,1,Popup 000 SCSS,web.assets_frontend,append,website/static/src/snippets/s_popup/000.scss,,f,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475,,,
32,16,1,1,Popup 000 JS,web.assets_frontend,append,website/static/src/snippets/s_popup/000.js,,t,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475,,,
33,16,1,1,Popup 001 SCSS,web.assets_frontend,append,website/static/src/snippets/s_popup/001.scss,,t,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475,,,
34,16,1,1,Faq collapse 000 SCSS,web.assets_frontend,append,website/static/src/snippets/s_faq_collapse/000.scss,,t,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475,,,
35,16,1,1,Features grid 000 SCSS,web.assets_frontend,append,website/static/src/snippets/s_features_grid/000.scss,,t,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475,,,
36,16,1,1,Tabs 001 SCSS,web.assets_frontend,append,website/static/src/snippets/s_tabs/001.scss,,t,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475,,,
37,16,1,1,Table of content 000 SCSS,web.assets_frontend,append,website/static/src/snippets/s_table_of_content/000.scss,,t,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475,,,
38,16,1,1,Table of content 000 JS,web.assets_frontend,append,website/static/src/snippets/s_table_of_content/000.js,,t,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475,,,
39,16,1,1,Chart 000 JS,web.assets_frontend,append,website/static/src/snippets/s_chart/000.js,,t,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475,,,
40,16,1,1,Quotes carousel 000 SCSS,web.assets_frontend,append,website/static/src/snippets/s_quotes_carousel/000.scss,,f,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475,,,
41,16,1,1,Quotes carousel 001 SCSS,web.assets_frontend,append,website/static/src/snippets/s_quotes_carousel/001.scss,,t,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475,,,
42,16,1,1,Masonry block 000 SCSS,web.assets_frontend,append,website/static/src/snippets/s_masonry_block/000.scss,,f,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475,,,
43,16,1,1,Masonry block 001 SCSS,web.assets_frontend,append,website/static/src/snippets/s_masonry_block/001.scss,,t,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475,,,
44,16,1,1,Masonry block 000 variables SCSS,web._assets_primary_variables,append,website/static/src/snippets/s_masonry_block/000_variables.scss,,f,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475,,,
45,16,1,1,Media list 000 SCSS,web.assets_frontend,append,website/static/src/snippets/s_media_list/000.scss,,f,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475,,,
46,16,1,1,Media list 001 SCSS,web.assets_frontend,append,website/static/src/snippets/s_media_list/001.scss,,t,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475,,,
47,16,1,1,Showcase 000 SCSS,web.assets_frontend,append,website/static/src/snippets/s_showcase/000.scss,,f,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475,,,
48,16,1,1,Showcase 001 SCSS,web.assets_frontend,append,website/static/src/snippets/s_showcase/001.scss,,f,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475,,,
49,16,1,1,Showcase 002 SCSS,web.assets_frontend,append,website/static/src/snippets/s_showcase/002.scss,,t,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475,,,
50,16,1,1,Timeline 000 SCSS,web.assets_frontend,append,website/static/src/snippets/s_timeline/000.scss,,t,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475,,,
51,16,1,1,Process steps 000 SCSS,web.assets_frontend,append,website/static/src/snippets/s_process_steps/000.scss,,f,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475,,,
52,16,1,1,Process steps 001 SCSS,web.assets_frontend,append,website/static/src/snippets/s_process_steps/001.scss,,t,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475,,,
53,16,1,1,Text highlight 000 SCSS,web.assets_frontend,append,website/static/src/snippets/s_text_highlight/000.scss,,t,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475,,,
54,16,1,1,Blockquote 000 SCSS,web.assets_frontend,append,website/static/src/snippets/s_blockquote/000.scss,,t,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475,,,
55,16,1,1,Badge 000 variables SCSS,web._assets_primary_variables,append,website/static/src/snippets/s_badge/000_variables.scss,,t,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475,,,
56,16,1,1,Badge 000 SCSS,web.assets_frontend,append,website/static/src/snippets/s_badge/000.scss,,t,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475,,,
57,16,1,1,Color blocks 2 000 SCSS,web.assets_frontend,append,website/static/src/snippets/s_color_blocks_2/000.scss,,t,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475,,,
58,16,1,1,Product list 000 variables SCSS,web._assets_primary_variables,append,website/static/src/snippets/s_product_list/000_variables.scss,,t,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475,,,
59,16,1,1,Product list 000 SCSS,web.assets_frontend,append,website/static/src/snippets/s_product_list/000.scss,,t,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475,,,
60,16,1,1,Menu - Thumbnails 000 SCSS,web.assets_frontend,append,website/static/src/snippets/s_mega_menu_thumbnails/000.scss,,t,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475,,,
61,16,1,1,Menu - Little icons 000 SCSS,web.assets_frontend,append,website/static/src/snippets/s_mega_menu_little_icons/000.scss,,t,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475,,,
62,16,1,1,Menu - images & subtitles 000 SCSS,web.assets_frontend,append,website/static/src/snippets/s_mega_menu_images_subtitles/000.scss,,t,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475,,,
63,16,1,1,Menus & logos 000 SCSS,web.assets_frontend,append,website/static/src/snippets/s_mega_menu_menus_logos/000.scss,,t,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475,,,
64,16,1,1,Odoo Menu 000 SCSS,web.assets_frontend,append,website/static/src/snippets/s_mega_menu_odoo_menu/000.scss,,t,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475,,,
65,16,1,1,Menu - Cards 000 SCSS,web.assets_frontend,append,website/static/src/snippets/s_mega_menu_cards/000.scss,,t,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475,,,
66,16,1,1,Google map 000 SCSS,web.assets_frontend,append,website/static/src/snippets/s_google_map/000.scss,,t,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475,,,
67,16,1,1,Google map 000 JS,web.assets_frontend,append,website/static/src/snippets/s_google_map/000.js,,t,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475,,,
68,16,1,1,Map 000 SCSS,web.assets_frontend,append,website/static/src/snippets/s_map/000.scss,,t,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475,,,
69,16,1,1,Map 000 JS,web.assets_frontend,append,website/static/src/snippets/s_map/000.js,,t,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475,,,
70,16,1,1,Dynamic snippet 000 SCSS,web.assets_frontend,append,website/static/src/snippets/s_dynamic_snippet/000.scss,,t,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475,,,
71,16,1,1,Dynamic snippet 000 JS,web.assets_frontend,append,website/static/src/snippets/s_dynamic_snippet/000.js,,t,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475,,,
72,16,1,1,Dynamic snippet 000 XML,web.assets_frontend,append,website/static/src/snippets/s_dynamic_snippet/000.xml,,t,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475,,,
73,16,1,1,Dynamic snippet carousel 000 SCSS,web.assets_frontend,append,website/static/src/snippets/s_dynamic_snippet_carousel/000.scss,,t,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475,,,
74,16,1,1,Dynamic snippet carousel 000 JS,web.assets_frontend,append,website/static/src/snippets/s_dynamic_snippet_carousel/000.js,,t,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475,,,
75,16,1,1,Dynamic snippet carousel 000 XML,web.assets_frontend,append,website/static/src/snippets/s_dynamic_snippet_carousel/000.xml,,t,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475,,,
76,16,1,1,Embed Code 000 SCSS,web.assets_frontend,append,website/static/src/snippets/s_embed_code/000.scss,,t,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475,,,
77,16,1,1,Website form 000 SCSS,web.assets_frontend,append,website/static/src/snippets/s_website_form/000.scss,,f,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475,,,
78,16,1,1,Website form 001 SCSS,web.assets_frontend,append,website/static/src/snippets/s_website_form/001.scss,,t,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475,,,
79,16,1,1,Website form 000 JS,web.assets_frontend,append,website/static/src/snippets/s_website_form/000.js,,t,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475,,,
80,16,1,1,Website form XML,web.assets_frontend,append,website/static/src/xml/website_form.xml,,t,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475,,,
81,16,1,1,Searchbar 000 JS,web.assets_frontend,append,website/static/src/snippets/s_searchbar/000.js,,t,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475,,,
82,16,1,1,Searchbar 000 XML,web.assets_frontend,append,website/static/src/snippets/s_searchbar/000.xml,,t,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475,,,
83,16,1,1,Alert 001 SCSS,web.assets_frontend,append,mass_mailing/static/src/snippets/s_alert/000.scss,,t,2024-04-18 07:41:18.402745,2024-04-18 07:41:18.402745,,,
84,16,1,1,Features grid 000 SCSS,web.assets_frontend,append,mass_mailing/static/src/snippets/s_features_grid/000.scss,,t,2024-04-18 07:41:18.402745,2024-04-18 07:41:18.402745,,,
85,16,1,1,Hr 000 SCSS,web.assets_frontend,append,mass_mailing/static/src/snippets/s_hr/000.scss,,t,2024-04-18 07:41:18.402745,2024-04-18 07:41:18.402745,,,
86,16,1,1,Masonry block 001 SCSS,web.assets_frontend,append,mass_mailing/static/src/snippets/s_masonry_block/001.scss,,t,2024-04-18 07:41:18.402745,2024-04-18 07:41:18.402745,,,
87,16,1,1,Media list 001 SCSS,web.assets_frontend,append,mass_mailing/static/src/snippets/s_media_list/001.scss,,t,2024-04-18 07:41:18.402745,2024-04-18 07:41:18.402745,,,
88,16,1,1,Rating 000 SCSS,web.assets_frontend,append,mass_mailing/static/src/snippets/s_rating/000.scss,,f,2024-04-18 07:41:18.402745,2024-04-18 07:41:18.402745,,,
89,16,1,1,Rating 001 SCSS,web.assets_frontend,append,mass_mailing/static/src/snippets/s_rating/001.scss,,t,2024-04-18 07:41:18.402745,2024-04-18 07:41:18.402745,,,
90,16,1,1,Popup 000 JS Website Mass Mailing Override,web.assets_frontend,append,website_mass_mailing/static/src/snippets/s_popup/000.js,,t,2024-04-18 07:41:29.207285,2024-04-18 07:41:29.207285,,,
7,16,1,1,Title 000 SCSS,web.assets_frontend,append,website/static/src/snippets/s_title/000.scss,,t,2024-04-18 07:40:52.262475,2024-04-18 07:41:58.290409,,,
91,16,2,2,web.assets_frontend: replace user_theme_color_palette.scss,web._assets_primary_variables,replace,/_custom/web.assets_frontend/website/static/src/scss/options/colors/user_theme_color_palette.scss,/website/static/src/scss/options/colors/user_theme_color_palette.scss,t,2024-04-18 07:46:27.24007,2024-04-18 07:46:27.24007,2,,
92,16,2,2,web.assets_frontend: replace user_values.scss,web._assets_primary_variables,replace,/_custom/web.assets_frontend/website/static/src/scss/options/user_values.scss,/website/static/src/scss/options/user_values.scss,t,2024-04-18 07:46:27.24007,2024-04-18 07:46:27.24007,2,,
93,16,2,2,Website Configurator Tour,website.assets_editor,append,website/static/src/js/tours/configurator_tour.js,,t,2024-04-18 07:46:31.368951,2024-04-18 07:46:31.368951,2,,website.configurator_tour
94,16,1,1,Event 000 SCSS,web.assets_frontend,append,website_event/static/src/snippets/s_events/000.scss,,t,2024-04-18 07:47:17.105443,2024-04-18 07:47:17.105443,,,
