id,create_uid,write_uid,key,value,create_date,write_date
5,1,1,base.login_cooldown_after,10,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
6,1,1,base.login_cooldown_duration,60,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
7,1,1,base.template_portal_user_id,5,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
1,1,1,database.secret,3cf5b4d6-29ef-428f-9f46-b18fc0eb6f19,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
2,1,1,database.uuid,b35ddb1c-fd56-11ee-9b8d-0784fc12adfe,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
3,1,1,database.create_date,2024-04-18 07:38:51,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
8,1,1,base_setup.show_effect,True,2024-04-18 07:38:54.314881,2024-04-18 07:38:54.314881
4,1,2,web.base.url,http://127.0.0.1:8069,2024-04-18 07:38:41.908233,2024-04-18 07:38:57.950774
9,1,1,mail.activity.gc.delete_overdue_years,3,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
10,1,1,auth_signup.invitation_scope,b2c,2024-04-18 07:40:37.862168,2024-04-18 07:40:37.862168
11,1,1,auth_signup.reset_password,True,2024-04-18 07:40:37.862168,2024-04-18 07:40:37.862168
12,1,1,hr.hr_presence_control_login,True,2024-04-18 07:40:41.811291,2024-04-18 07:40:41.811291
13,1,1,digest.default_digest_emails,True,2024-04-18 07:40:48.807216,2024-04-18 07:40:48.807216
14,1,1,digest.default_digest_id,1,2024-04-18 07:40:48.807216,2024-04-18 07:40:48.807216
15,1,1,analytic.project_plan,1,2024-04-18 07:41:09.65521,2024-04-18 07:41:09.65521
16,1,1,mass_mailing.mass_mailing_reports,True,2024-04-18 07:41:18.402745,2024-04-18 07:41:18.402745
17,1,1,mass_mailing.show_blacklist_buttons,True,2024-04-18 07:41:18.402745,2024-04-18 07:41:18.402745
18,1,1,account_payment.enable_portal_payment,True,2024-04-18 07:47:04.324243,2024-04-18 07:47:04.324243
19,1,1,sale.default_confirmation_template,22,2024-04-18 07:47:12.503609,2024-04-18 07:47:12.503609
20,1,1,sale.default_invoice_email_template,18,2024-04-18 07:47:12.503609,2024-04-18 07:47:12.503609
21,1,1,account.use_invoice_terms,True,2024-04-18 07:47:35.565337,2024-04-18 07:47:35.565337
22,2,2,recaptcha_min_score,0.7,2024-04-18 10:44:05.194042,2024-04-18 10:44:05.194042
23,2,2,discuss.tenor_content_filter,low,2024-04-18 10:44:05.194042,2024-04-18 10:44:05.194042
24,2,2,discuss.tenor_gif_limit,8,2024-04-18 10:44:05.194042,2024-04-18 10:44:05.194042
25,2,2,product.product_pricelist_setting,basic,2024-04-18 10:44:05.194042,2024-04-18 10:44:05.194042
26,2,2,product.weight_in_lbs,0,2024-04-18 10:44:05.194042,2024-04-18 10:44:05.194042
27,2,2,product.volume_in_cubic_feet,0,2024-04-18 10:44:05.194042,2024-04-18 10:44:05.194042
28,2,2,attendance_subject_generic_parameter,subject,2024-04-18 10:44:05.194042,2024-04-18 10:44:05.194042
29,2,2,mail.web_push_vapid_private_key,TJeo2Jj0VWMOhcS_qh2Q1o7m7cUAbtnmxtYlRj_f6iw,2024-04-21 12:31:24.974798,2024-04-21 12:31:24.974798
30,2,2,mail.web_push_vapid_public_key,BElepiLojMNbYRB_rSak-MLmlGELlgLcwgEpP7Ozc6Kmldb0-1s-5Q0Dp94D2ldNUFPQG7NdZYKpK_3UHoI_ROY,2024-04-21 12:31:24.974798,2024-04-21 12:31:24.974798
