id,ir_actions_server_id,user_id,interval_number,numbercall,priority,create_uid,write_uid,cron_name,interval_type,active,doall,nextcall,lastcall,create_date,write_date
3,125,1,1,-1,5,1,1,Mail: Email Queue Manager,hours,t,f,2024-04-24 15:40:36,2024-04-24 14:40:36,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
12,175,1,60,-1,5,1,1,Partner Autocomplete: Sync with remote DB,minutes,t,f,2024-04-24 15:40:45,2024-04-24 14:41:14,2024-04-18 07:40:45.347796,2024-04-18 07:40:45.347796
14,189,1,1,-1,5,1,1,Snailmail: process letters queue,hours,t,f,2024-04-24 15:40:48,2024-04-24 14:41:14,2024-04-18 07:40:47.88965,2024-04-18 07:40:47.88965
1,34,1,1,-1,3,1,1,Base: Auto-vacuum internal data,days,t,,2024-04-25 07:38:50,2024-04-24 07:39:01,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
13,179,1,1,-1,5,1,1,SMS: SMS Queue Manager,hours,t,f,2024-04-24 15:40:47,2024-04-24 14:41:14,2024-04-18 07:40:46.744909,2024-04-18 07:40:46.744909
4,126,1,1,-1,1000,1,1,Publisher: Update Notification,weeks,t,f,2024-04-25 07:40:36,,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
6,128,1,5,-1,5,1,1,Mail: Fetchmail Service,minutes,f,f,2024-04-18 07:40:36,,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
2,35,1,1,-1,5,1,1,Base: Portal Users Deletion,days,t,,2024-04-25 07:38:50,2024-04-24 07:39:02,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
25,410,1,10,-1,5,1,1,payment: post-process transactions,minutes,t,,2024-04-24 15:46:46,2024-04-24 15:37:14,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
10,141,1,1,-1,5,1,1,Users: Notify About Unregistered Users,days,t,,2024-04-25 07:40:38,2024-04-24 07:41:02,2024-04-18 07:40:37.862168,2024-04-18 07:40:37.862168
28,512,1,1,-1,5,1,1,automatic invoicing: send ready invoice,days,f,,2024-04-18 07:47:15,,2024-04-18 07:47:12.503609,2024-04-18 07:47:12.503609
18,250,1,1,-1,1000,1,1,Publisher: Update Notification Tarcin,weeks,t,f,2024-04-25 07:41:08,,2024-04-18 07:41:05.464971,2024-04-18 07:41:05.464971
20,272,1,1,-1,5,1,1,Gamification: Karma tracking consolidation,months,t,,2024-05-01 04:00:00,,2024-04-18 07:41:11.133546,2024-04-18 07:41:11.133546
30,588,1,1,-1,5,1,1,Automation Rules: check and execute,minutes,t,f,2024-04-24 15:39:51,2024-04-24 15:39:16,2024-04-18 07:56:49.854103,2024-04-18 10:42:39.074562
22,289,1,1,-1,5,1,1,Mail Marketing: A/B Testing,days,f,t,2024-04-18 07:41:20,,2024-04-18 07:41:18.402745,2024-04-18 07:41:18.402745
27,486,1,1,-1,5,1,1,Send invoices automatically,days,t,,2024-04-25 07:46:58,2024-04-24 07:47:06,2024-04-18 07:46:48.92483,2024-04-18 07:46:48.92483
11,174,1,1,-1,5,1,1,HR Employee: check work permit validity,days,t,,2024-04-25 07:40:45,2024-04-24 07:41:02,2024-04-18 07:40:41.811291,2024-04-18 07:40:41.811291
17,210,1,1,-1,5,1,1,Website Visitor : clean inactive visitors,days,t,f,2024-04-25 07:40:56,2024-04-24 07:41:02,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475
5,127,1,1,-1,5,1,1,Notification: Delete Notifications older than 6 Month,days,t,f,2024-04-25 07:40:36,2024-04-24 07:41:02,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
8,130,1,1,-1,5,1,1,Mail: send web push notification,days,t,t,2024-04-25 07:40:36,2024-04-24 07:41:02,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
9,131,1,1,-1,5,1,1,Discuss: channel member unmute,days,t,f,2024-04-25 07:40:36,2024-04-24 07:41:02,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
26,485,1,1,-1,5,1,1,Account: Post draft entries with auto_post enabled and accounting date up to today,days,t,f,2024-04-25 02:00:58,2024-04-24 02:01:38,2024-04-18 07:46:48.92483,2024-04-18 07:46:48.92483
24,407,1,1,-1,5,1,1,Event: Mail Scheduler,hours,t,f,2024-04-24 15:46:42,2024-04-24 14:47:21,2024-04-18 07:46:39.43159,2024-04-18 07:46:39.43159
16,208,1,1,-1,5,1,1,Disable unused snippets assets,weeks,t,,2024-04-25 07:40:56,2024-04-18 07:41:58,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475
15,193,1,1,-1,5,1,1,Digest Emails,days,t,,2024-04-25 09:40:49,2024-04-24 09:41:13,2024-04-18 07:40:48.807216,2024-04-18 07:40:48.807216
29,570,1,1,-1,5,1,1,eCommerce: send email to customers about their abandoned cart,hours,t,f,2024-04-24 15:47:38,2024-04-24 14:48:22,2024-04-18 07:47:35.565337,2024-04-18 07:47:35.565337
19,271,1,1,-1,5,1,1,Gamification: Goal Challenge Check,days,t,f,2024-04-25 07:41:12,2024-04-24 07:41:36,2024-04-18 07:41:11.133546,2024-04-18 07:41:11.133546
21,288,1,1,-1,5,1,1,Mail Marketing: Process queue,days,t,f,2024-04-25 07:41:20,2024-04-24 07:41:36,2024-04-18 07:41:18.402745,2024-04-18 07:41:18.402745
23,349,1,1,-1,5,1,1,Project: Send rating,days,t,,2024-04-25 07:41:26,2024-04-24 07:41:36,2024-04-18 07:41:22.122125,2024-04-18 07:41:22.122125
7,129,1,1,-1,5,1,1,Notification: Send scheduled message notifications,hours,t,f,2024-04-24 15:40:36,2024-04-24 14:40:36,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
