id,create_uid,write_uid,model,order,state,name,info,transient,create_date,write_date,is_mail_thread,is_mail_activity,is_mail_blacklist,website_form_default_field_id,website_form_label,website_form_key,website_form_access
507,,,barcodes.barcode_events_mixin,id,base,"{""en_US"": ""Barcode Event Mixin""}"," Mixin class for objects reacting when a barcode is scanned in their form views
        which contains `<field name=""_barcode_scanned"" widget=""barcode_handler""/>`.
        Models using this mixin must implement the method on_barcode_scanned. It works
        like an onchange and receives the scanned barcode in parameter.
    ",f,,,f,f,f,,,,
508,,,barcode.nomenclature,id,base,"{""en_US"": ""Barcode Nomenclature""}"," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    ",f,,,f,f,f,,,,
509,,,barcode.rule,"sequence asc, id",base,"{""en_US"": ""Barcode Rule""}"," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    ",f,,,f,f,f,,,,
510,,,onboarding.progress,id,base,"{""en_US"": ""Onboarding Progress Tracker""}"," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    ",f,,,f,f,f,,,,
511,,,onboarding.onboarding,"sequence asc, id desc",base,"{""en_US"": ""Onboarding""}"," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    ",f,,,f,f,f,,,,
512,,,onboarding.onboarding.step,"sequence asc, id asc",base,"{""en_US"": ""Onboarding Step""}"," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    ",f,,,f,f,f,,,,
513,,,onboarding.progress.step,id,base,"{""en_US"": ""Onboarding Progress Step Tracker""}"," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    ",f,,,f,f,f,,,,
515,,,product.product,"priority desc, default_code, name, id",base,"{""en_US"": ""Product Variant""}"," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    ",f,,,t,t,f,,,,
516,,,product.attribute,"sequence, id",base,"{""en_US"": ""Product Attribute""}"," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    ",f,,,f,f,f,,,,
517,,,product.attribute.custom.value,"custom_product_template_attribute_value_id, id",base,"{""en_US"": ""Product Attribute Custom Value""}"," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    ",f,,,f,f,f,,,,
