id,model_id,group_id,create_uid,write_uid,name,active,perm_read,perm_write,perm_create,perm_unlink,create_date,write_date
1,107,4,1,1,decimal.precision configuration,t,t,t,f,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
2,28,1,1,1,ir_attachment group_user,t,t,t,t,t,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
3,28,,1,1,ir_attachment group_portal_public,t,f,f,f,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
4,30,4,1,1,ir_cron group_cron,t,t,t,t,t,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
5,31,4,1,1,ir_cron_trigger group_cron,t,t,t,t,t,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
6,34,8,1,1,ir_exports group_system,t,t,t,t,t,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
7,35,1,1,1,ir_exports_line group_system,t,t,t,t,t,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
8,3,2,1,1,ir_model group_erp_manager,t,t,t,t,t,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
9,7,2,1,1,ir_model_constraint group_erp_manager,t,t,t,t,t,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
10,8,2,1,1,ir_model_relation group_erp_manager,t,t,t,t,t,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
11,5,,1,1,ir_model_inherit nobody,t,f,f,f,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
12,9,2,1,1,ir_model_access_group_erp_manager,t,t,t,t,t,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
13,10,2,1,1,ir_model_data group_erp_manager,t,t,t,t,t,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
14,4,2,1,1,ir_model_fields group_erp_manager,t,t,t,t,t,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
15,6,2,1,1,ir_model_fields_selection group_erp_manager,t,t,t,t,t,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
16,3,1,1,1,ir_model_all,t,f,f,f,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
17,10,1,1,1,ir_model_data user,t,f,f,f,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
18,4,1,1,1,ir_model_fields all,t,f,f,f,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
19,6,1,1,1,ir_model_fields_selection all,t,f,f,f,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
21,66,4,1,1,ir_module_module group_user,t,t,t,t,t,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
22,67,4,1,1,ir_module_module_dependency group_system,t,t,t,t,t,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
23,68,4,1,1,ir_module_module_exclusion group_system,t,t,t,t,t,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
24,64,,1,1,ir_property group_user,t,f,f,f,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
25,64,4,1,1,ir_property group_system,t,t,t,t,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
26,36,2,1,1,ir_rule group_erp_manager,t,t,t,t,t,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
27,12,1,1,1,ir_sequence group_user,t,t,f,f,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
28,12,4,1,1,ir_sequence group_system,t,t,t,t,t,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
29,13,1,1,1,ir_sequence_date_range group_user,t,t,f,f,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
30,13,4,1,1,ir_sequence_date_range group_system,t,t,t,t,t,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
31,14,1,1,1,ir_ui_menu group_user,t,t,f,f,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
32,14,4,1,1,ir_ui_menu group_system,t,t,t,t,t,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
33,16,,1,1,ir_ui_view group_user,t,f,f,f,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
34,16,4,1,1,ir_ui_view group_system,t,t,t,t,t,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
35,17,4,1,1,reset_view_arch_wizard group_system,t,t,t,t,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
36,15,4,1,1,ir_ui_view_custom_group_user,t,t,t,t,t,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
37,33,,1,1,ir_default all,t,f,f,f,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
38,33,1,1,1,ir_default group_user,t,t,t,t,t,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
39,33,4,1,1,ir_default group_system,t,t,t,t,t,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
40,94,2,1,1,res_company group_erp_manager,t,t,t,t,t,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
41,94,11,1,1,res_company group_user,t,t,f,f,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
42,94,10,1,1,res_company group_user,t,t,f,f,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
43,94,1,1,1,res_company group_user,t,t,f,f,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
44,78,11,1,1,res_country group_user_all,t,t,f,f,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
45,78,10,1,1,res_country group_user_all,t,t,f,f,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
46,78,1,1,1,res_country group_user_all,t,t,f,f,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
47,80,11,1,1,res_country_state group_user_all,t,t,f,f,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
48,80,10,1,1,res_country_state group_user_all,t,t,f,f,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
49,80,1,1,1,res_country_state group_user_all,t,t,f,f,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
50,79,11,1,1,res_country_group group_user_all,t,t,f,f,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
51,79,10,1,1,res_country_group group_user_all,t,t,f,f,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
52,79,1,1,1,res_country_group group_user_all,t,t,f,f,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
53,78,9,1,1,res_country group_user,t,t,f,f,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
54,78,4,1,1,res_country_group_system,t,t,t,t,t,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
55,80,9,1,1,res_country_state group_user,t,t,t,t,t,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
56,79,9,1,1,res_country_group group_user,t,t,t,t,t,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
57,92,11,1,1,res_currency group_all,t,t,f,f,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
58,92,10,1,1,res_currency group_all,t,t,f,f,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
59,92,1,1,1,res_currency group_all,t,t,f,f,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
60,93,11,1,1,res_currency_rate group_all,t,t,f,f,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
61,93,10,1,1,res_currency_rate group_all,t,t,f,f,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
62,93,1,1,1,res_currency_rate group_all,t,t,f,f,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
63,92,4,1,1,res_currency group_system,t,t,t,t,t,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
64,93,4,1,1,res_currency_rate group_system,t,t,t,t,t,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
65,95,2,1,1,res_groups group_erp_manager,t,t,t,t,t,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
66,95,1,1,1,res_groups group_user,t,t,f,f,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
67,81,11,1,1,res_lang group_all,t,t,f,f,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
68,81,10,1,1,res_lang group_all,t,t,f,f,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
69,81,1,1,1,res_lang group_all,t,t,f,f,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
70,81,4,1,1,res_lang group_user,t,t,t,t,t,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
71,85,11,1,1,res_partner group_public,t,t,f,f,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
72,85,10,1,1,res_partner group_portal,t,t,f,f,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
73,85,9,1,1,res_partner group_partner_manager,t,t,t,t,t,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
74,85,1,1,1,res_partner group_user,t,t,f,f,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
75,88,1,1,1,res_partner_bank group_user,t,t,f,f,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
76,88,9,1,1,res_partner_bank group_partner_manager,t,t,t,t,t,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
77,83,1,1,1,res_partner_category group_user,t,t,f,f,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
78,83,9,1,1,res_partner_category group_partner_manager,t,t,t,t,t,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
79,86,1,1,1,res_partner_industry group_user,t,t,f,f,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
80,86,4,1,1,res_partner_industry group_system,t,t,t,t,t,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
164,140,4,1,1,resource.resource,t,t,f,f,f,2024-04-18 07:40:29.4147,2024-04-18 07:40:29.4147
81,84,9,1,1,res_partner_title group_partner_manager,t,t,t,t,t,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
82,84,1,1,1,res_partner_title group_user,t,t,f,f,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
83,97,11,1,1,res_users all,t,t,f,f,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
84,97,10,1,1,res_users all,t,t,f,f,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
85,97,1,1,1,res_users all,t,t,f,f,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
86,97,2,1,1,res_users group_erp_manager,t,t,t,t,t,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
87,106,,1,1,res_users_deletion all,t,f,f,f,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
88,106,2,1,1,res_users_deletion group_erp_manager,t,t,t,t,t,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
89,96,4,1,1,res_users_log_all,t,t,f,t,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
90,98,1,1,1,id check employees,t,t,t,t,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
91,98,10,1,1,id check portal,t,t,t,t,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
92,102,1,1,1,API keys access employees,t,t,f,f,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
93,102,10,1,1,API keys access portal,t,t,f,f,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
