id,model,module,create_uid,write_uid,name,definition,type,message,write_date,create_date
1,3,31,1,1,ir_model_obj_name_uniq,unique(model),u,"{""en_US"": ""Each model must have a unique name.""}",2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
2,4,31,1,1,ir_model_fields_name_unique,"unique(model,name)",u,"{""en_US"": ""Field names must be unique per model.""}",2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
3,4,31,1,1,ir_model_fields_size_gt_zero,check(size>=0),u,"{""en_US"": ""Size of the field cannot be negative.""}",2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
4,4,31,1,1,ir_model_fields_name_manual_field,check(state != 'manual' or name like 'x\_%'),u,"{""en_US"": ""Custom fields must have a name that starts with 'x_'!""}",2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
5,5,31,1,1,ir_model_inherit_uniq,"unique(model_id,parent_id)",u,"{""en_US"": ""Models inherits from another only once""}",2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
6,6,31,1,1,ir_model_fields_selection_selection_field_uniq,"unique(field_id,value)",u,"{""en_US"": ""Selections values must be unique per field""}",2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
7,7,31,1,1,ir_model_constraint_module_name_uniq,"unique(name,module)",u,"{""en_US"": ""Constraints with the same name are unique per module.""}",2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
8,10,31,1,1,ir_model_data_name_nospaces,check(name not like '% %'),u,"{""en_US"": ""External IDs cannot contain spaces""}",2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
9,16,31,1,1,ir_ui_view_inheritance_mode,check(mode != 'extension' or inherit_id is not null),u,"{""en_US"": ""Invalid inheritance mode: if the mode is 'extension', the view must extend an other view""}",2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
10,16,31,1,1,ir_ui_view_qweb_required_key,check(type != 'qweb' or key is not null),u,"{""en_US"": ""Invalid key: QWeb view should have a key""}",2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
11,32,31,1,1,ir_filters_name_model_uid_unique,"unique(model_id,user_id,action_id,name)",u,"{""en_US"": ""Filter names must be unique""}",2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
