id,relation_field_id,model_id,related_field_id,size,create_uid,write_uid,name,complete_name,model,relation,relation_field,ttype,related,state,on_delete,domain,relation_table,column1,column2,depends,currency_field,field_description,help,compute,copied,required,readonly,index,translate,group_expand,selectable,store,sanitize,sanitize_overridable,sanitize_tags,sanitize_attributes,sanitize_style,sanitize_form,strip_style,strip_classes,create_date,write_date,tracking,website_form_blacklisted
6151,,507,,,,,_barcode_scanned,,barcodes.barcode_events_mixin,,,char,,base,,,,,,,,"{""en_US"": ""Barcode Scanned""}","{""en_US"": ""Value of the last barcode scanned.""}",,t,f,f,f,f,,f,f,,,,,,,,,,,,t
6152,,508,,,,,name,,barcode.nomenclature,,,char,,base,,,,,,,,"{""en_US"": ""Barcode Nomenclature""}","{""en_US"": ""An internal identification of the barcode nomenclature""}",,t,t,f,f,f,,t,t,,,,,,,,,,,,t
6153,,508,,,,,rule_ids,,barcode.nomenclature,barcode.rule,barcode_nomenclature_id,one2many,,base,,,,,,,,"{""en_US"": ""Rules""}","{""en_US"": ""The list of barcode rules""}",,f,f,f,f,f,,t,t,,,,,,,,,,,,t
6154,,508,,,,,upc_ean_conv,,barcode.nomenclature,,,selection,,base,,,,,,,,"{""en_US"": ""UPC/EAN Conversion""}","{""en_US"": ""UPC Codes can be converted to EAN by prefixing them with a zero. This setting determines if a UPC/EAN barcode should be automatically converted in one way or another when trying to match a rule with the other encoding.""}",,t,t,f,f,f,,t,t,,,,,,,,,,,,t
6155,,508,,,,,id,,barcode.nomenclature,,,integer,,base,,,,,,,,"{""en_US"": ""ID""}",,,t,f,t,f,f,,t,t,,,,,,,,,,,,t
6156,,508,,,,,display_name,,barcode.nomenclature,,,char,,base,,,,,,,,"{""en_US"": ""Display Name""}",,,f,f,t,f,f,,f,f,,,,,,,,,,,,t
6157,,508,,,,,create_uid,,barcode.nomenclature,res.users,,many2one,,base,set null,,,,,,,"{""en_US"": ""Created by""}",,,t,f,t,f,f,,t,t,,,,,,,,,,,,t
6158,,508,,,,,create_date,,barcode.nomenclature,,,datetime,,base,,,,,,,,"{""en_US"": ""Created on""}",,,t,f,t,f,f,,t,t,,,,,,,,,,,,t
6159,,508,,,,,write_uid,,barcode.nomenclature,res.users,,many2one,,base,set null,,,,,,,"{""en_US"": ""Last Updated by""}",,,t,f,t,f,f,,t,t,,,,,,,,,,,,t
6160,,508,,,,,write_date,,barcode.nomenclature,,,datetime,,base,,,,,,,,"{""en_US"": ""Last Updated on""}",,,t,f,t,f,f,,t,t,,,,,,,,,,,,t
6161,,509,,,,,name,,barcode.rule,,,char,,base,,,,,,,,"{""en_US"": ""Rule Name""}","{""en_US"": ""An internal identification for this barcode nomenclature rule""}",,t,t,f,f,f,,t,t,,,,,,,,,,,,t
6162,,509,,,,,barcode_nomenclature_id,,barcode.rule,barcode.nomenclature,,many2one,,base,set null,,,,,,,"{""en_US"": ""Barcode Nomenclature""}",,,t,f,f,f,f,,t,t,,,,,,,,,,,,t
6163,,509,,,,,sequence,,barcode.rule,,,integer,,base,,,,,,,,"{""en_US"": ""Sequence""}","{""en_US"": ""Used to order rules such that rules with a smaller sequence match first""}",,t,f,f,f,f,,t,t,,,,,,,,,,,,t
6164,,509,,,,,encoding,,barcode.rule,,,selection,,base,,,,,,,,"{""en_US"": ""Encoding""}","{""en_US"": ""This rule will apply only if the barcode is encoded with the specified encoding""}",,t,t,f,f,f,,t,t,,,,,,,,,,,,t
6165,,509,,,,,type,,barcode.rule,,,selection,,base,,,,,,,,"{""en_US"": ""Type""}",,,t,t,f,f,f,,t,t,,,,,,,,,,,,t
6166,,509,,,,,pattern,,barcode.rule,,,char,,base,,,,,,,,"{""en_US"": ""Barcode Pattern""}","{""en_US"": ""The barcode matching pattern""}",,t,t,f,f,f,,t,t,,,,,,,,,,,,t
6167,,509,,,,,alias,,barcode.rule,,,char,,base,,,,,,,,"{""en_US"": ""Alias""}","{""en_US"": ""The matched pattern will alias to this barcode""}",,t,t,f,f,f,,t,t,,,,,,,,,,,,t
6168,,509,,,,,id,,barcode.rule,,,integer,,base,,,,,,,,"{""en_US"": ""ID""}",,,t,f,t,f,f,,t,t,,,,,,,,,,,,t
6169,,509,,,,,display_name,,barcode.rule,,,char,,base,,,,,,,,"{""en_US"": ""Display Name""}",,,f,f,t,f,f,,f,f,,,,,,,,,,,,t
6170,,509,,,,,create_uid,,barcode.rule,res.users,,many2one,,base,set null,,,,,,,"{""en_US"": ""Created by""}",,,t,f,t,f,f,,t,t,,,,,,,,,,,,t
6171,,509,,,,,create_date,,barcode.rule,,,datetime,,base,,,,,,,,"{""en_US"": ""Created on""}",,,t,f,t,f,f,,t,t,,,,,,,,,,,,t
6172,,509,,,,,write_uid,,barcode.rule,res.users,,many2one,,base,set null,,,,,,,"{""en_US"": ""Last Updated by""}",,,t,f,t,f,f,,t,t,,,,,,,,,,,,t
6173,,509,,,,,write_date,,barcode.rule,,,datetime,,base,,,,,,,,"{""en_US"": ""Last Updated on""}",,,t,f,t,f,f,,t,t,,,,,,,,,,,,t
6174,,94,,,,,nomenclature_id,,res.company,barcode.nomenclature,,many2one,,base,set null,,,,,,,"{""en_US"": ""Nomenclature""}",,,t,f,f,f,f,,t,t,,,,,,,,,,,,t
6175,,510,,,,,onboarding_state,,onboarding.progress,,,selection,,base,,,,,,,,"{""en_US"": ""Onboarding progress""}",,,f,f,t,f,f,,t,t,,,,,,,,,,,,t
6176,,510,,,,,is_onboarding_closed,,onboarding.progress,,,boolean,,base,,,,,,,,"{""en_US"": ""Was panel closed?""}",,,t,f,f,f,f,,t,t,,,,,,,,,,,,t
6177,,510,,,,,company_id,,onboarding.progress,res.company,,many2one,,base,cascade,,,,,,,"{""en_US"": ""Company""}",,,t,f,f,f,f,,t,t,,,,,,,,,,,,t
6178,,510,,,,,onboarding_id,,onboarding.progress,onboarding.onboarding,,many2one,,base,cascade,,,,,,,"{""en_US"": ""Related onboarding tracked""}",,,t,t,f,f,f,,t,t,,,,,,,,,,,,t
6179,,510,,,,,progress_step_ids,,onboarding.progress,onboarding.progress.step,,many2many,,base,,,onboarding_progress_onboarding_progress_step_rel,onboarding_progress_id,onboarding_progress_step_id,,,"{""en_US"": ""Progress Steps Trackers""}",,,t,f,f,f,f,,t,t,,,,,,,,,,,,t
6180,,510,,,,,id,,onboarding.progress,,,integer,,base,,,,,,,,"{""en_US"": ""ID""}",,,t,f,t,f,f,,t,t,,,,,,,,,,,,t
6181,,510,,,,,display_name,,onboarding.progress,,,char,,base,,,,,,,,"{""en_US"": ""Display Name""}",,,f,f,t,f,f,,f,f,,,,,,,,,,,,t
6182,,510,,,,,create_uid,,onboarding.progress,res.users,,many2one,,base,set null,,,,,,,"{""en_US"": ""Created by""}",,,t,f,t,f,f,,t,t,,,,,,,,,,,,t
6183,,510,,,,,create_date,,onboarding.progress,,,datetime,,base,,,,,,,,"{""en_US"": ""Created on""}",,,t,f,t,f,f,,t,t,,,,,,,,,,,,t
6184,,510,,,,,write_uid,,onboarding.progress,res.users,,many2one,,base,set null,,,,,,,"{""en_US"": ""Last Updated by""}",,,t,f,t,f,f,,t,t,,,,,,,,,,,,t
6185,,510,,,,,write_date,,onboarding.progress,,,datetime,,base,,,,,,,,"{""en_US"": ""Last Updated on""}",,,t,f,t,f,f,,t,t,,,,,,,,,,,,t
6186,,511,,,,,name,,onboarding.onboarding,,,char,,base,,,,,,,,"{""en_US"": ""Name of the onboarding""}",,,t,f,f,f,t,,t,t,,,,,,,,,,,,t
6187,,511,,,,,route_name,,onboarding.onboarding,,,char,,base,,,,,,,,"{""en_US"": ""One word name""}",,,t,t,f,f,f,,t,t,,,,,,,,,,,,t
6188,,511,,,,,step_ids,,onboarding.onboarding,onboarding.onboarding.step,,many2many,,base,,,onboarding_onboarding_onboarding_onboarding_step_rel,onboarding_onboarding_id,onboarding_onboarding_step_id,,,"{""en_US"": ""Onboarding steps""}",,,t,f,f,f,f,,t,t,,,,,,,,,,,,t
6189,,511,,,,,text_completed,,onboarding.onboarding,,,char,,base,,,,,,,,"{""en_US"": ""Message at completion""}","{""en_US"": ""Text shown on onboarding when completed""}",,t,f,f,f,f,,t,t,,,,,,,,,,,,t
6190,,511,,,,,is_per_company,,onboarding.onboarding,,,boolean,,base,,,,,,,,"{""en_US"": ""Should be done per company?""}",,,f,f,t,f,f,,f,f,,,,,,,,,,,,t
6191,,511,,,,,panel_close_action_name,,onboarding.onboarding,,,char,,base,,,,,,,,"{""en_US"": ""Closing action""}","{""en_US"": ""Name of the onboarding model action to execute when closing the panel.""}",,t,f,f,f,f,,t,t,,,,,,,,,,,,t
6192,,511,,,,,current_progress_id,,onboarding.onboarding,onboarding.progress,,many2one,,base,set null,,,,,,,"{""en_US"": ""Onboarding Progress""}","{""en_US"": ""Onboarding Progress for the current context (company).""}",,f,f,t,f,f,,f,f,,,,,,,,,,,,t
6193,,511,,,,,current_onboarding_state,,onboarding.onboarding,,,selection,,base,,,,,,,,"{""en_US"": ""Completion State""}",,,f,f,t,f,f,,f,f,,,,,,,,,,,,t
6194,,511,,,,,is_onboarding_closed,,onboarding.onboarding,,,boolean,,base,,,,,,,,"{""en_US"": ""Was panel closed?""}",,,f,f,t,f,f,,f,f,,,,,,,,,,,,t
6195,,511,,,,,progress_ids,,onboarding.onboarding,onboarding.progress,onboarding_id,one2many,,base,,,,,,,,"{""en_US"": ""Onboarding Progress Records""}","{""en_US"": ""All Onboarding Progress Records (across companies).""}",,f,f,t,f,f,,t,t,,,,,,,,,,,,t
6196,,511,,,,,sequence,,onboarding.onboarding,,,integer,,base,,,,,,,,"{""en_US"": ""Sequence""}",,,t,f,f,f,f,,t,t,,,,,,,,,,,,t
6197,,511,,,,,id,,onboarding.onboarding,,,integer,,base,,,,,,,,"{""en_US"": ""ID""}",,,t,f,t,f,f,,t,t,,,,,,,,,,,,t
6198,,511,,,,,display_name,,onboarding.onboarding,,,char,,base,,,,,,,,"{""en_US"": ""Display Name""}",,,f,f,t,f,f,,f,f,,,,,,,,,,,,t
6199,,511,,,,,create_uid,,onboarding.onboarding,res.users,,many2one,,base,set null,,,,,,,"{""en_US"": ""Created by""}",,,t,f,t,f,f,,t,t,,,,,,,,,,,,t
