id,field_id,sequence,create_uid,write_uid,value,name,create_date,write_date
1,7,0,,,manual,"{""en_US"": ""Custom Object""}",,
2,7,1,,,base,"{""en_US"": ""Base Object""}",,
3,29,0,,,binary,"{""en_US"": ""binary""}",,
4,29,1,,,boolean,"{""en_US"": ""boolean""}",,
5,29,2,,,char,"{""en_US"": ""char""}",,
6,29,3,,,date,"{""en_US"": ""date""}",,
7,29,4,,,datetime,"{""en_US"": ""datetime""}",,
8,29,5,,,float,"{""en_US"": ""float""}",,
9,29,6,,,html,"{""en_US"": ""html""}",,
10,29,7,,,integer,"{""en_US"": ""integer""}",,
11,29,8,,,json,"{""en_US"": ""json""}",,
12,29,9,,,many2many,"{""en_US"": ""many2many""}",,
13,29,10,,,many2one,"{""en_US"": ""many2one""}",,
14,29,11,,,many2one_reference,"{""en_US"": ""many2one_reference""}",,
15,29,12,,,monetary,"{""en_US"": ""monetary""}",,
16,29,13,,,one2many,"{""en_US"": ""one2many""}",,
17,29,14,,,properties,"{""en_US"": ""properties""}",,
18,29,15,,,properties_definition,"{""en_US"": ""properties_definition""}",,
19,29,16,,,reference,"{""en_US"": ""reference""}",,
20,29,17,,,selection,"{""en_US"": ""selection""}",,
21,29,18,,,text,"{""en_US"": ""text""}",,
22,40,0,,,manual,"{""en_US"": ""Custom Field""}",,
23,40,1,,,base,"{""en_US"": ""Base Field""}",,
24,41,0,,,cascade,"{""en_US"": ""Cascade""}",,
25,41,1,,,set null,"{""en_US"": ""Set NULL""}",,
26,41,2,,,restrict,"{""en_US"": ""Restrict""}",,
27,141,0,,,standard,"{""en_US"": ""Standard""}",,
28,141,1,,,no_gap,"{""en_US"": ""No gap""}",,
29,178,0,,,ir.actions.report,"{""en_US"": ""ir.actions.report""}",,
30,178,1,,,ir.actions.act_window,"{""en_US"": ""ir.actions.act_window""}",,
31,178,2,,,ir.actions.act_url,"{""en_US"": ""ir.actions.act_url""}",,
32,178,3,,,ir.actions.server,"{""en_US"": ""ir.actions.server""}",,
33,178,4,,,ir.actions.client,"{""en_US"": ""ir.actions.client""}",,
34,199,0,,,tree,"{""en_US"": ""Tree""}",,
35,199,1,,,form,"{""en_US"": ""Form""}",,
36,199,2,,,graph,"{""en_US"": ""Graph""}",,
37,199,3,,,pivot,"{""en_US"": ""Pivot""}",,
38,199,4,,,calendar,"{""en_US"": ""Calendar""}",,
39,199,5,,,gantt,"{""en_US"": ""Gantt""}",,
40,199,6,,,kanban,"{""en_US"": ""Kanban""}",,
41,199,7,,,search,"{""en_US"": ""Search""}",,
42,199,8,,,qweb,"{""en_US"": ""QWeb""}",,
43,211,0,,,primary,"{""en_US"": ""Base view""}",,
44,211,1,,,extension,"{""en_US"": ""Extension View""}",,
45,224,0,,,soft,"{""en_US"": ""Restore previous version (soft reset).""}",,
46,224,1,,,hard,"{""en_US"": ""Reset to file version (hard reset).""}",,
47,224,2,,,other_view,"{""en_US"": ""Reset to another view.""}",,
48,235,0,,,append,"{""en_US"": ""Append""}",,
49,235,1,,,prepend,"{""en_US"": ""Prepend""}",,
50,235,2,,,after,"{""en_US"": ""After""}",,
51,235,3,,,before,"{""en_US"": ""Before""}",,
52,235,4,,,remove,"{""en_US"": ""Remove""}",,
53,235,5,,,replace,"{""en_US"": ""Replace""}",,
54,235,6,,,include,"{""en_US"": ""Include""}",,
55,251,0,,,action,"{""en_US"": ""Action""}",,
56,251,1,,,report,"{""en_US"": ""Report""}",,
57,264,0,,,action,"{""en_US"": ""Action""}",,
58,264,1,,,report,"{""en_US"": ""Report""}",,
59,277,0,,,current,"{""en_US"": ""Current Window""}",,
60,277,1,,,new,"{""en_US"": ""New Window""}",,
61,277,2,,,inline,"{""en_US"": ""Inline Edit""}",,
62,277,3,,,fullscreen,"{""en_US"": ""Full Screen""}",,
63,277,4,,,main,"{""en_US"": ""Main action of Current Window""}",,
64,289,0,,,tree,"{""en_US"": ""Tree""}",,
65,289,1,,,form,"{""en_US"": ""Form""}",,
66,289,2,,,graph,"{""en_US"": ""Graph""}",,
67,289,3,,,pivot,"{""en_US"": ""Pivot""}",,
68,289,4,,,calendar,"{""en_US"": ""Calendar""}",,
69,289,5,,,gantt,"{""en_US"": ""Gantt""}",,
70,289,6,,,kanban,"{""en_US"": ""Kanban""}",,
71,303,0,,,action,"{""en_US"": ""Action""}",,
72,303,1,,,report,"{""en_US"": ""Report""}",,
73,316,0,,,action,"{""en_US"": ""Action""}",,
74,316,1,,,report,"{""en_US"": ""Report""}",,
75,325,0,,,new,"{""en_US"": ""New Window""}",,
76,325,1,,,self,"{""en_US"": ""This Window""}",,
77,325,2,,,download,"{""en_US"": ""Download""}",,
78,331,0,,,action,"{""en_US"": ""Action""}",,
79,331,1,,,report,"{""en_US"": ""Report""}",,
80,339,0,,,ir_actions_server,"{""en_US"": ""Server Action""}",,
81,339,1,,,ir_cron,"{""en_US"": ""Scheduled Action""}",,
82,340,0,,,object_write,"{""en_US"": ""Update Record""}",,
87,355,0,,,add,"{""en_US"": ""Adding""}",,
88,355,1,,,remove,"{""en_US"": ""Removing""}",,
89,355,2,,,set,"{""en_US"": ""Setting it to""}",,
90,355,3,,,clear,"{""en_US"": ""Clearing it""}",,
91,356,0,,,true,"{""en_US"": ""Yes (True)""}",,
92,356,1,,,false,"{""en_US"": ""No (False)""}",,
93,358,0,,,value,"{""en_US"": ""Update""}",,
94,358,1,,,equation,"{""en_US"": ""Compute""}",,
95,361,0,,,value,"{""en_US"": ""value""}",,
96,361,1,,,resource_ref,"{""en_US"": ""reference""}",,
97,361,2,,,update_boolean_value,"{""en_US"": ""update_boolean_value""}",,
98,361,3,,,selection_value,"{""en_US"": ""selection_value""}",,
99,367,0,,,open,"{""en_US"": ""To Do""}",,
100,367,1,,,done,"{""en_US"": ""Done""}",,
101,380,0,,,action,"{""en_US"": ""Action""}",,
102,380,1,,,report,"{""en_US"": ""Report""}",,
103,389,0,,,current,"{""en_US"": ""Current Window""}",,
104,389,1,,,new,"{""en_US"": ""New Window""}",,
105,389,2,,,fullscreen,"{""en_US"": ""Full Screen""}",,
106,389,3,,,main,"{""en_US"": ""Main action of Current Window""}",,
107,399,0,,,action,"{""en_US"": ""Action""}",,
108,399,1,,,report,"{""en_US"": ""Report""}",,
109,409,0,,,qweb-html,"{""en_US"": ""HTML""}",,
110,409,1,,,qweb-pdf,"{""en_US"": ""PDF""}",,
111,409,2,,,qweb-text,"{""en_US"": ""Text""}",,
112,425,0,,,url,"{""en_US"": ""URL""}",,
113,425,1,,,binary,"{""en_US"": ""File""}",,
