id,model,module,create_uid,write_uid,name,write_date,create_date
1,4,31,1,1,ir_model_fields_group_rel,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
2,14,31,1,1,ir_ui_menu_group_rel,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
3,16,31,1,1,ir_ui_view_group_rel,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
4,20,31,1,1,ir_act_window_group_rel,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
5,24,31,1,1,rel_server_actions,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
6,24,31,1,1,ir_act_server_group_rel,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
7,24,31,1,1,ir_act_server_webhook_field_rel,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
8,27,31,1,1,res_groups_report_rel,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
9,36,31,1,1,rule_group_rel,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
10,78,31,1,1,res_country_res_country_group_rel,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
11,83,31,1,1,res_partner_res_partner_category_rel,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
12,94,31,1,1,res_company_users_rel,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
13,95,31,1,1,res_groups_users_rel,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
14,95,31,1,1,res_groups_implied_rel,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
15,110,31,1,1,res_lang_install_rel,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
16,114,31,1,1,rel_modules_langexport,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
17,116,31,1,1,base_partner_merge_automatic_wizard_res_partner_rel,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
18,128,113,1,1,iap_account_res_company_rel,2024-04-18 07:38:54.744654,2024-04-18 07:38:54.744654
19,141,500,1,1,utm_tag_rel,2024-04-18 07:40:30.073315,2024-04-18 07:40:30.073315
20,164,261,1,1,mail_activity_rel,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
21,164,261,1,1,mail_activity_type_mail_template_rel,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
22,165,261,1,1,activity_attachment_rel,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
23,169,261,1,1,mail_followers_mail_message_subtype_rel,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
24,176,261,1,1,message_attachment_rel,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
25,176,261,1,1,mail_message_res_partner_rel,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
26,176,261,1,1,mail_notification,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
27,176,261,1,1,mail_message_res_partner_starred_rel,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
28,177,261,1,1,mail_mail_res_partner_rel,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
29,179,261,1,1,email_template_attachment_rel,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
30,179,261,1,1,mail_template_ir_actions_report_rel,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
31,24,261,1,1,ir_act_server_res_partner_rel,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
32,203,261,1,1,discuss_channel_res_groups_rel,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
33,206,261,1,1,discuss_channel_member,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
34,213,261,1,1,mail_compose_message_ir_attachments_rel,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
35,213,261,1,1,mail_compose_message_res_partner_rel,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
36,214,261,1,1,mail_activity_plan_mail_activity_schedule_rel,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
37,215,261,1,1,mail_notification_mail_resend_message_rel,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
38,218,261,1,1,mail_template_mail_template_reset_rel,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
39,219,261,1,1,mail_wizard_invite_res_partner_rel,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
40,356,73,1,1,employee_category_rel,2024-04-18 07:40:41.811291,2024-04-18 07:40:41.811291
41,203,73,1,1,discuss_channel_hr_department_rel,2024-04-18 07:40:41.811291,2024-04-18 07:40:41.811291
42,367,329,1,1,portal_share_res_partner_rel,2024-04-18 07:40:45.771386,2024-04-18 07:40:45.771386
43,368,329,1,1,portal_wizard_res_partner_rel,2024-04-18 07:40:45.771386,2024-04-18 07:40:45.771386
44,380,409,1,1,sms_template_sms_template_reset_rel,2024-04-18 07:40:46.744909,2024-04-18 07:40:46.744909
45,384,58,1,1,digest_digest_res_users_rel,2024-04-18 07:40:48.807216,2024-04-18 07:40:48.807216
