id,create_uid,create_date,write_date,write_uid,parent_id,name,sequence,description,visible,exclusive
21,,,2024-04-18 07:40:41.811291,1,19,"{""en_US"": ""Employees""}",9,,t,
9,,,2024-04-18 07:46:37.983166,1,8,"{""en_US"": ""Sales""}",1,"{""en_US"": ""Helps you handle your quotations, sale orders and invoicing.""}",t,
3,,,,,1,"{""en_US"": ""Payment""}",,,t,
18,,,2024-04-18 07:46:39.43159,1,17,"{""en_US"": ""Events""}",18,"{""en_US"": ""Helps you manage your Events.""}",t,
5,,,,,4,"{""en_US"": ""Tools""}",,,t,
6,,,,,,"{""en_US"": ""Tools""}",,,t,
7,,,,,,"{""en_US"": ""Extra Tools""}",,,t,
11,,,,,10,"{""en_US"": ""Calendar""}",,,t,
12,,,,,8,"{""en_US"": ""CRM""}",,,t,
13,,,,,10,"{""en_US"": ""Data Cleaning""}",,,t,
14,,,,,8,"{""en_US"": ""Delivery""}",,,t,
16,,,,,15,"{""en_US"": ""Delivery""}",,,t,
20,,,,,19,"{""en_US"": ""Fleet""}",,,t,
22,,,,,19,"{""en_US"": ""Attendances""}",,,t,
23,,,,,19,"{""en_US"": ""Contracts""}",,,t,
24,,,,,19,"{""en_US"": ""Expenses""}",,,t,
25,,,,,19,"{""en_US"": ""Time Off""}",,,t,
26,,,,,19,"{""en_US"": ""Remote Work""}",,,t,
28,,,,,27,"{""en_US"": ""Employee Hourly Cost""}",,,t,
29,,,,,,"{""en_US"": ""Generic Modules""}",,,t,
30,,,,,29,"{""en_US"": ""Human Resources""}",,,t,
31,,,,,19,"{""en_US"": ""Recruitment""}",,,t,
32,,,,,27,"{""en_US"": ""Timesheets""}",,,t,
33,,,,,19,"{""en_US"": ""Payroll""}",,,t,
34,,,,,8,"{""en_US"": ""Point of Sale""}",,,t,
36,,,,,35,"{""en_US"": ""Live Chat""}",,,t,
37,,,,,10,"{""en_US"": ""Discuss""}",,,t,
38,,,,,4,"{""en_US"": ""Tests""}",,,t,
41,,,,,39,"{""en_US"": ""Point of Sale""}",,,t,
42,,,,,39,"{""en_US"": ""Website""}",,,t,
43,,,,,,"{""en_US"": ""Localization""}",,,t,
44,,,,,,"{""en_US"": ""Uncategorized""}",,,t,
45,,,,,39,"{""en_US"": ""EDI""}",,,t,
46,,,,,,"{""en_US"": ""account""}",,,t,
47,,,,,39,"{""en_US"": ""Reporting""}",,,t,
48,,,,,39,"{""en_US"": ""Purchase""}",,,t,
49,,,,,39,"{""en_US"": ""Sale""}",,,t,
50,,,,,19,"{""en_US"": ""Lunch""}",,,t,
52,,,,,51,"{""en_US"": ""Maintenance""}",,,t,
54,,,,,51,"{""en_US"": ""Manufacturing""}",,,t,
55,,,,,15,"{""en_US"": ""Inventory""}",,,t,
56,,,,,15,"{""en_US"": ""Purchase""}",,,t,
57,,,,,51,"{""en_US"": ""Purchase""}",,,t,
58,,,,,51,"{""en_US"": ""Repair""}",,,t,
59,,,,,6,"{""en_US"": ""UI""}",,,t,
60,,,,,,"{""en_US"": ""Themes""}",,,t,
61,,,,,60,"{""en_US"": ""Backend""}",,,t,
62,,,,,1,"{""en_US"": ""Payment Providers""}",,,t,
63,,,,,,"{""en_US"": ""Point of Sale""}",,,t,
64,,,,,,"{""en_US"": ""Technical""}",,,t,
66,,,,,27,"{""en_US"": ""expenses""}",,,t,
67,,,,,10,"{""en_US"": ""To-Do""}",,,t,
69,,,,,,"{""en_US"": ""Education""}",,,t,
70,,,,,,"{""en_US"": ""Tests""}",,,t,
4,,,2024-04-18 07:38:41.908233,1,,"{""en_US"": ""Technical""}",60,,f,
1,,,2024-04-18 07:38:41.908233,1,,"{""en_US"": ""Accounting""}",15,,t,
39,,,2024-04-18 07:38:41.908233,1,1,"{""en_US"": ""Localization""}",65,,f,
74,1,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233,1,,"{""en_US"": ""Payroll Localization""}",,,f,
40,,,2024-04-18 07:38:41.908233,1,39,"{""en_US"": ""Account Charts""}",,,f,
75,1,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233,1,,"{""en_US"": ""User types""}",9,"{""en_US"": ""Helps you manage users.""}",t,
77,1,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233,1,,"{""en_US"": ""Appraisals""}",15,"{""en_US"": ""A user without any rights on Appraisals will be able to see the application, create and manage appraisals for himself and the people he's manager of.""}",t,
78,1,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233,1,,"{""en_US"": ""Sign""}",25,"{""en_US"": ""Helps you sign and complete your documents easily.""}",t,
79,1,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233,1,,"{""en_US"": ""Helpdesk""}",14,"{""en_US"": ""After-sales services""}",t,
80,1,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233,1,27,"{""en_US"": ""Appointment""}",,,t,
81,1,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233,1,27,"{""en_US"": ""Field Service""}",,,t,
82,1,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233,1,,"{""en_US"": ""Customizations""}",55,,t,
83,1,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233,1,76,"{""en_US"": ""Administration""}",,,t,
84,1,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233,1,,"{""en_US"": ""Extra Rights""}",101,,t,
85,1,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233,1,,"{""en_US"": ""Other Extra Rights""}",102,,t,
8,,,2024-04-18 07:38:41.908233,1,,"{""en_US"": ""Sales""}",5,,t,
51,,,2024-04-18 07:38:41.908233,1,,"{""en_US"": ""Manufacturing""}",30,,t,
35,,,2024-04-18 07:38:41.908233,1,,"{""en_US"": ""Website""}",35,,t,
71,,,2024-04-18 07:38:41.908233,1,,"{""en_US"": ""Theme""}",50,,t,f
27,,,2024-04-18 07:38:41.908233,1,,"{""en_US"": ""Services""}",10,,t,
15,,,2024-04-18 07:38:41.908233,1,,"{""en_US"": ""Inventory""}",25,,t,
10,,,2024-04-18 07:38:41.908233,1,,"{""en_US"": ""Productivity""}",50,,t,
86,1,2024-04-18 07:40:51.67663,2024-04-18 07:40:51.67663,1,,"{""en_US"": ""Dashboard""}",30,"{""en_US"": ""User access level for Dashboard module""}",t,
72,,,2024-04-18 07:40:52.262475,1,35,"{""en_US"": ""Website""}",23,,t,
87,1,2024-04-18 07:41:05.464971,2024-04-18 07:41:05.464971,1,,"{""en_US"": ""Education""}",101,"{""en_US"": ""Helps you manage your institutes different-different users.""}",t,
88,1,2024-04-18 07:41:05.464971,2024-04-18 07:41:05.464971,1,,"{""en_US"": ""Education Other""}",20,"{""en_US"": ""Helps you manage your institutes different-different users.""}",t,
89,1,2024-04-18 07:41:05.464971,2024-04-18 07:41:05.464971,1,87,"{""en_US"": ""Tarcin""}",15,"{""en_US"": ""Helps you manage your institutes different-different users.""}",t,
90,1,2024-04-18 07:41:05.464971,2024-04-18 07:41:05.464971,1,89,"{""en_US"": ""Tarcin Others""}",20,"{""en_US"": ""Helps you manage your institutes different-different users.""}",t,
17,,,2024-04-18 07:41:05.464971,1,,"{""en_US"": ""Marketing""}",100,,t,
76,1,2024-04-18 07:38:41.908233,2024-04-18 07:41:05.464971,1,,"{""en_US"": ""Administration""}",40,,t,
19,,,2024-04-18 07:41:05.464971,1,,"{""en_US"": ""Human Resources""}",45,,t,
68,,,2024-04-18 07:41:14.668723,1,17,"{""en_US"": ""Surveys""}",20,"{""en_US"": ""Helps you manage your survey for review of different-different users.""}",t,
53,,,2024-04-18 07:41:18.402745,1,17,"{""en_US"": ""Email Marketing""}",19,"{""en_US"": ""Helps you manage your mass mailing to design\n    professional emails and reuse templates.""}",t,
65,,,2024-04-18 07:41:22.122125,1,27,"{""en_US"": ""Project""}",3,"{""en_US"": ""Helps you manage your projects and tasks by tracking them, generating plannings, etc...""}",t,
2,,,2024-04-18 07:46:48.92483,1,1,"{""en_US"": ""Invoicing""}",7,"{""en_US"": ""Helps you handle your accounting needs, if you are not an accountant, we suggest you to install only the Invoicing.""}",t,
91,1,2024-04-18 07:46:48.92483,2024-04-18 07:46:48.92483,1,1,"{""en_US"": ""Bank""}",50,,t,
92,1,2024-04-18 07:47:00.687459,2024-04-18 07:47:00.687459,1,,"{""en_US"": ""Live Chat""}",20,,t,
73,,,2024-04-18 07:47:26.604362,1,35,"{""en_US"": ""eLearning""}",21,,t,
93,1,2024-04-18 07:56:51.447522,2024-04-18 07:56:51.447522,1,,"{""en_US"": ""Assignment""}",105,"{""en_US"": ""Helps you manage your institutes different-different users.""}",t,
94,1,2024-04-18 07:56:51.447522,2024-04-18 07:56:51.447522,1,93,"{""en_US"": ""Assignment""}",16,,t,
95,1,2024-04-18 07:57:33.94017,2024-04-18 07:57:33.94017,1,,"{""en_US"": ""Fees""}",107,"{""en_US"": ""Helps you manage your institutes different-different users.""}",t,
96,1,2024-04-18 07:57:33.94017,2024-04-18 07:57:33.94017,1,95,"{""en_US"": ""Fees""}",18,"{""en_US"": ""Helps you manage your institutes different-different users.""}",t,
97,1,2024-04-18 07:57:36.231095,2024-04-18 07:57:36.231095,1,,"{""en_US"": ""Admission""}",101,"{""en_US"": ""Helps you manage your institutes different-different users.""}",t,
98,1,2024-04-18 07:57:36.231095,2024-04-18 07:57:36.231095,1,97,"{""en_US"": ""Admission""}",1,"{""en_US"": ""Helps you manage your institutes different-different users.""}",t,
99,1,2024-04-18 07:58:28.826074,2024-04-18 07:58:28.826074,1,,"{""en_US"": ""Discuss""}",113,"{""en_US"": ""Helps you manage your institutes different-different users.""}",t,
100,1,2024-04-18 07:58:28.826074,2024-04-18 07:58:28.826074,1,99,"{""en_US"": ""Timetable""}",16,,t,
101,1,2024-04-18 07:58:30.524114,2024-04-18 07:58:30.524114,1,,"{""en_US"": ""Attendance""}",106,"{""en_US"": ""Helps you manage your institutes different-different users.""}",t,
102,1,2024-04-18 07:58:30.524114,2024-04-18 07:58:30.524114,1,101,"{""en_US"": ""Attendance""}",17,,t,
103,1,2024-04-18 07:58:48.811597,2024-04-18 07:58:48.811597,1,,"{""en_US"": ""Exam""}",108,"{""en_US"": ""Helps you manage your institutes different-different users.""}",t,
104,1,2024-04-18 07:58:48.811597,2024-04-18 07:58:48.811597,1,103,"{""en_US"": ""Exam""}",18,"{""en_US"": ""Helps you manage your institutes different-different users.""}",t,
