id,create_uid,create_date,write_date,write_uid,website,summary,name,author,icon,state,latest_version,shortdesc,category_id,description,application,demo,web,license,sequence,auto_install,to_buy,maintainer,published_version,url,contributors,menus_by_module,reports_by_module,views_by_module,module_type,imported
191,,,2024-04-18 10:43:23.662334,2,https://www.odoo.com/documentation/17.0/applications/finance/fiscal_localizations/india.html,"{""en_US"": """"}",l10n_in,Odoo S.A.,/account/static/description/l10n.png,installed,17.0.2.0,"{""en_US"": ""Indian - Accounting""}",40,"{""en_US"": ""\nIndian Accounting: Chart of Account.\n====================================\n\nIndian accounting chart and localization.\n\nOdoo allows to manage Indian Accounting by providing Two Formats Of Chart of Accounts i.e Indian Chart Of Accounts - Standard and Indian Chart Of Accounts - Schedule VI.\n\nNote: The Schedule VI has been revised by MCA and is applicable for all Balance Sheet made after\n31st March, 2011. The Format has done away with earlier two options of format of Balance\nSheet, now only Vertical format has been permitted Which is Supported By Odoo.\n""}",f,f,f,LGPL-3,100,f,f,,,,,"Invoicing/Reporting/India
Invoicing/Reporting/India/Audit trail","","* INHERIT account.journal.form.inherit.l10n.in (form)
* INHERIT account.move.form.inherit.l10n.in (form)
* INHERIT account.tax.form.inherit.l10n.in (form)
* INHERIT l10n.in.res.country.state.form.inhert (form)
* INHERIT l10n.in.res.partner.vat.inherit (form)
* INHERIT l10n_in.product.template.form.hsn_code (form)
* INHERIT l10n_in_report_invoice_document_inherit (qweb)
* INHERIT report_invoice (qweb)
* INHERIT res.company.form.inherit.l10n_in_upi (form)
* INHERIT res.config.settings.form.inherit.l10n_in (form)
* INHERIT uom.category.form (form)
* INHERIT uom.uom.form (form)
l10n_in.port.code.form (form)
l10n_in.port.code.search (search)
l10n_in.port.code.tree (tree)
mail.message.search (search)
mail.message.tree.inherit.audit.log (tree)",official,
261,,,2024-04-18 07:40:37.862168,1,https://www.odoo.com/app/discuss,"{""en_US"": ""Chat, mail gateway and private channels""}",mail,Odoo S.A.,/mail/static/description/icon.png,installed,17.0.1.15,"{""en_US"": ""Discuss""}",37,"{""en_US"": ""\n\nChat, mail gateway and private channel.\n=======================================\n\nCommunicate with your colleagues/customers/guest within Odoo.\n\nDiscuss/Chat\n------------\nUser-friendly \""Discuss\"" features that allows one 2 one or group communication\n(text chat/voice call/video call), invite guests and share documents with\nthem, all real-time.\n\nMail gateway\n------------\nSending information and documents made simplified. You can send emails\nfrom Odoo itself, and that too with great possibilities. For example,\ndesign a beautiful email template for the invoices, and use the same\nfor all your customers, no need to do the same exercise every time.\n\nChatter\n-------\nDo all the contextual conversation on a document. For example on an\napplicant, directly post an update to send email to the applicant,\nschedule the next interview call, attach the contract, add HR officer\nto the follower list to notify them for important events(with help of\nsubtypes),...\n\n\nRetrieve incoming email on POP/IMAP servers.\n============================================\nEnter the parameters of your POP/IMAP account(s), and any incoming emails on\nthese accounts will be automatically downloaded into your Odoo system. All\nPOP3/IMAP-compatible servers are supported, included those that require an\nencrypted SSL/TLS connection.\nThis can be used to easily create email-based workflows for many email-enabled Odoo documents, such as:\n----------------------------------------------------------------------------------------------------------\n    * CRM Leads/Opportunities\n    * CRM Claims\n    * Project Issues\n    * Project Tasks\n    * Human Resource Recruitment (Applicants)\nJust install the relevant application, and you can assign any of these document\ntypes (Leads, Project Issues) to your incoming email accounts. New emails will\nautomatically spawn new documents of the chosen type, so it's a snap to create a\nmailbox-to-Odoo integration. Even better: these documents directly act as mini\nconversations synchronized by email. You can reply from within Odoo, and the\nanswers will automatically be collected when they come back, and attached to the\nsame *conversation* document.\nFor more specific needs, you may also assign custom-defined actions\n(technically: Server Actions) to be triggered for each incoming mail.\n""}",t,f,f,LGPL-3,145,f,f,,,,,"Discuss
Discuss/Integrations
Settings/Technical/Discuss
Settings/Technical/Discuss/Activities
Settings/Technical/Discuss/Activity Plans
Settings/Technical/Discuss/Activity Types
Settings/Technical/Discuss/Email Blacklist
Settings/Technical/Discuss/Followers
Settings/Technical/Discuss/GIF favorite
Settings/Technical/Discuss/Guests
Settings/Technical/Discuss/ICE servers
Settings/Technical/Discuss/Link Previews
Settings/Technical/Discuss/Message Reactions
Settings/Technical/Discuss/Messages
Settings/Technical/Discuss/Notifications
Settings/Technical/Discuss/RTC sessions
Settings/Technical/Discuss/Scheduled Messages
Settings/Technical/Discuss/Subtypes
Settings/Technical/Discuss/Tracking Values
Settings/Technical/Discuss/User Settings
Settings/Technical/Email/Alias Domains
Settings/Technical/Email/Aliases
Settings/Technical/Email/Channels
Settings/Technical/Email/Channels/Members
Settings/Technical/Email/Email Templates
Settings/Technical/Email/Emails
Settings/Technical/Email/Incoming Mail Servers
Settings/Technical/Email/Mail Gateway Allowed","","* INHERIT Mail: mail notification layout with responsible signature (user_id of the record) (qweb)
* INHERIT ir.actions.server.form (form)
* INHERIT ir.model form (form)
* INHERIT ir.model search (search)
* INHERIT ir.model.fields form (form)
* INHERIT mail.activity.plan.view.form.fixed.model (form)
* INHERIT mail.activity.type.form.inherit (form)
* INHERIT mail.activity.view.form (form)
* INHERIT mail.activity.view.tree.without.record.access (tree)
* INHERIT res.company.view.form.inherit.mail (form)
* INHERIT res.config.settings.view.form.inherit.mail (form)
* INHERIT res.partner.view.form.inherit.mail (form)
* INHERIT res.partner.view.kanban.inherit.mail (kanban)
* INHERIT res.partner.view.search.inherit.mail (search)
* INHERIT res.partner.view.tree.inherit.mail (tree)
* INHERIT res.users.form.mail (form)
* INHERIT res.users.preferences.form.mail (form)
Activity schedule (form)
Add Followers (form)
Discuss Public Template (qweb)
Mail: mail notification layout template (qweb)
account_security_setting_update (qweb)
discuss.channel.form (form)
discuss.channel.kanban (kanban)
discuss.channel.member.form (form)
discuss.channel.member.tree (tree)
discuss.channel.rtc.session.form (form)
discuss.channel.rtc.session.search (search)
discuss.channel.rtc.session.tree (tree)
discuss.channel.search (search)
discuss.channel.tree (tree)
discuss.gif.favorite.form (form)
discuss.gif.favorite.tree (tree)
email.template.form (form)
email.template.search (search)
email.template.tree (tree)
fetchmail.server.form (form)
fetchmail.server.list (tree)
fetchmail.server.search (search)
ir.attachment kanban (kanban)
mail.activity.plan.template.view.form (form)
mail.activity.plan.template.view.tree (tree)
mail.activity.plan.view.form (form)
mail.activity.plan.view.search (search)
mail.activity.plan.view.tree (tree)
mail.activity.type.search (search)
mail.activity.type.view.form (form)
mail.activity.type.view.tree (tree)
mail.activity.view.calendar (calendar)
mail.activity.view.form.popup (form)
mail.activity.view.form.without.record.access (form)
mail.activity.view.search (search)
mail.activity.view.tree (tree)
mail.alias.domain.view.form (form)
mail.alias.domain.view.search (search)
mail.alias.domain.view.tree (tree)
mail.alias.view.form (form)
mail.alias.view.search (search)
mail.alias.view.tree (tree)
mail.blacklist.remove.form (form)
mail.blacklist.view.form (form)
mail.blacklist.view.search (search)
mail.blacklist.view.tree (tree)
mail.compose.message.form (form)
mail.compose.message.view.form.template.save (form)
mail.followers.form (form)
mail.followers.tree (tree)
mail.gateway.allowed.view.search (search)
mail.gateway.allowed.view.tree (tree)
mail.guest.form (form)
mail.guest.tree (tree)
mail.ice.server.form (form)
mail.ice.server.tree (tree)
mail.link.preview.form (form)
mail.link.preview.tree (tree)
mail.mail.form (form)
mail.mail.search (search)
mail.mail.tree (tree)
mail.message.reaction.form (form)
mail.message.reaction.tree (tree)
mail.message.schedule.view.form (form)
mail.message.schedule.view.search (search)
mail.message.schedule.view.tree (tree)
mail.message.search (search)
mail.message.subtype.form (form)
mail.message.subtype.tree (tree)
mail.message.tree (tree)
mail.message.view.form (form)
mail.message_document_unfollowed (qweb)
mail.notification.view.form (form)
mail.notification.view.tree (tree)
mail.public_layout (qweb)
mail.resend.message.view.form (form)
mail.resend.partner.view.form (form)
mail.shortcode.form (form)
mail.shortcode.search (search)
mail.shortcode.tree (tree)
mail.template.preview.view.form (form)
mail.template.reset.view.form (form)
mail.template.view.form.confirm.delete (form)
mail.tracking.value.form (form)
mail.tracking.value.tree (tree)
mail_bounce_alias_security (qweb)
mail_bounce_catchall (qweb)
mail_notification_light (qweb)
message_activity_assigned (qweb)
message_activity_done (qweb)
message_notification_limit_email (qweb)
message_origin_link (qweb)
message_user_assigned (qweb)
notification_preview (qweb)
res.partner.activity (activity)
res.users.settings.form (form)
res.users.settings.tree (tree)",official,
26,,,2024-04-18 07:40:38.671091,1,"","{""en_US"": """"}",auth_totp_mail,Odoo S.A.,/base/static/description/icon.png,installed,17.0.1.0,"{""en_US"": ""2FA Invite mail""}",7,"{""en_US"": ""\n2FA Invite mail\n===============\nAllow the users to invite another user to use Two-Factor authentication\nby sending an email to the target user. This email redirects them to:\n- the users security settings if the user is internal.\n- the portal security settings page if the user is not internal.\n""}",f,f,f,LGPL-3,100,t,f,,,,,"","","* INHERIT account_security_setting_update (qweb)
* INHERIT res.users.view.form.auth.totp.mail (form)
* INHERIT res.users.view.form.inherit.auth.totp.mail (form)",official,
100,,,2024-04-18 07:40:51.038439,1,"","{""en_US"": ""Manage skills, knowledge and resume of your employees""}",hr_skills,Odoo S.A.,/hr_skills/static/description/icon.png,installed,17.0.1.0,"{""en_US"": ""Skills Management""}",21,"{""en_US"": ""\nSkills and Resume for HR\n========================\n\nThis module introduces skills and resume management for employees.\n""}",t,f,f,LGPL-3,270,t,f,,,,,"Employees/Configuration/Employee/Skill Types
Employees/Configuration/Resume
Employees/Configuration/Resume/Line Types
Employees/Reporting/Skills",Employee Resume,"* INHERIT hr.department.kanban.inherit.hr.skills (kanban)
* INHERIT hr.employee.public.skill.search (search)
* INHERIT hr.employee.public.view.form.inherit.resume (form)
* INHERIT hr.employee.skill.search (search)
* INHERIT hr.employee.view.form.inherit.resume (form)
* INHERIT hr.user.preferences.form.inherit.hr.skills (form)
hr.employee.cv.wizard.view.form (form)
hr.employee.skill.log.view.graph (graph)
hr.employee.skill.log.view.graph (graph)
hr.employee.skill.log.view.search (search)
hr.employee.skill.log.view.tree (tree)
hr.employee.skill.report pivot (pivot)
hr.employee.skill.report search (search)
hr.employee.skill.report tree (tree)
hr.employees.skill.form (form)
hr.resume.line.form (form)
hr.resume.line.type.tree.view (tree)
hr.skill.form (form)
hr.skill.level.form (form)
hr.skill.level.tree (tree)
hr.skill.tree (tree)
hr.skill.type.form (form)
hr.skill.type.tree (tree)
hr.skill.view.search (search)
report_employee_cv (qweb)
report_employee_cv_company (qweb)
report_employee_cv_main_panel (qweb)
report_employee_cv_sidepanel (qweb)",official,
16,,,2024-04-18 10:43:23.662334,2,"","{""en_US"": """"}",account_test,Odoo S.A.,/base/static/description/icon.png,uninstalled,,"{""en_US"": ""Accounting Consistency Tests""}",2,"{""en_US"": ""\nAsserts on accounting.\n======================\nWith this module you can manually check consistencies and inconsistencies of accounting module from menu Reporting/Accounting/Accounting Tests.\n\nYou can write a query in order to create Consistency Test and you will get the result of the test \nin PDF format which can be accessed by Menu Reporting -> Accounting Tests, then select the test \nand print the report from Print button in header area.\n""}",f,f,f,LGPL-3,100,f,f,,,,,"","","",official,
391,,,2024-04-18 07:47:24.983782,1,https://www.odoo.com/app/sales,"{""en_US"": ""From quotations to invoices""}",sale_management,Odoo S.A.,/sale_management/static/description/icon.png,installed,17.0.1.0,"{""en_US"": ""Sales""}",9,"{""en_US"": ""\nManage sales quotations and orders\n==================================\n\nThis application allows you to manage your sales goals in an effective and efficient manner by keeping track of all sales orders and history.\n\nIt handles the full sales workflow:\n\n* **Quotation** -> **Sales order** -> **Invoice**\n\nPreferences (only with Warehouse Management installed)\n------------------------------------------------------\n\nIf you also installed the Warehouse Management, you can deal with the following preferences:\n\n* Shipping: Choice of delivery at once or partial delivery\n* Invoicing: choose how invoices will be paid\n* Incoterms: International Commercial terms\n\n\nWith this module you can personnalize the sales order and invoice report with\ncategories, subtotals or page-breaks.\n\nThe Dashboard for the Sales Manager will include\n------------------------------------------------\n* My Quotations\n* Monthly Turnover (Graph)\n""}",t,f,f,LGPL-3,5,f,f,,,,,Sales/Configuration/Sales Orders/Quotation Templates,"","* INHERIT Order Options (qweb)
* INHERIT digest.digest.view.form.inherit.sale.order (form)
* INHERIT report_saleorder_document_inherit_sale_management (qweb)
* INHERIT res.config.settings.view.form.inherit.sale.management (form)
* INHERIT sale.order.form.inherit.sale_management (form)
sale.order.template.form (form)
sale.order.template.search (search)
sale.order.template.tree (tree)",official,
561,,,2024-04-18 07:47:42.969877,1,"","{""en_US"": ""Add certification capabilities to your courses""}",website_slides_survey,Odoo S.A.,/base/static/description/icon.png,installed,17.0.1.0,"{""en_US"": ""Course Certifications""}",73,"{""en_US"": ""This module lets you use the full power of certifications within your courses.""}",f,f,f,LGPL-3,100,t,f,,,,,eLearning/Courses/Certifications,"","* INHERIT Certification Course Main (qweb)
* INHERIT all_user_card (qweb)
* INHERIT badge_content (qweb)
* INHERIT course_card_inherit_survey (qweb)
* INHERIT course_slides_list_inherit_survey (qweb)
* INHERIT course_slides_list_slide_inherit_survey (qweb)
* INHERIT courses_home_inherit_survey (qweb)
* INHERIT res.config.settings.view.form.inherit.website.slides.survey (form)
* INHERIT slide.channel.view.form.inherit.survey (form)
* INHERIT slide.channel.view.kanban.inherit.survey (kanban)
* INHERIT slide.slide.partner.view.form.inherit.survey (form)
* INHERIT slide.slide.partner.view.search.inherit.survey (search)
* INHERIT slide.slide.partner.view.tree.inherit.survey (tree)
* INHERIT slide.slide.view.form.inherit.survey (form)
* INHERIT slide_content_detailed (qweb)
* INHERIT slide_fullscreen_sidebar_category (qweb)
* INHERIT slide_sidebar_done_button (qweb)
* INHERIT survey.survey.view.form.inherit.website.slides (form)
* INHERIT survey.survey.view.kanban.inherit.website.slides (kanban)
* INHERIT survey.survey.view.search.slides (search)
* INHERIT survey.survey.view.tree.slides (tree)
* INHERIT survey_fill_form_done_inherit_website_slides (qweb)
* INHERIT top3_user_card (qweb)
* INHERIT user_profile_content (qweb)
display_certificate (qweb)
o_wss_certification_icon (qweb)",official,
158,,,2024-04-18 10:43:23.662334,2,https://www.odoo.com/documentation/17.0/applications/finance/fiscal_localizations/egypt.html,"{""en_US"": """"}",l10n_eg,Odoo S.A.,/account/static/description/l10n.png,uninstalled,,"{""en_US"": ""Egypt - Accounting""}",40,"{""en_US"": ""\nThis is the base module to manage the accounting chart for Egypt in Odoo.\n==============================================================================\n""}",f,f,f,LGPL-3,100,f,f,,,,,"","","",official,
90,,,2024-04-18 10:43:23.662334,2,"","{""en_US"": """"}",hr_org_chart,Odoo S.A.,/base/static/description/icon.png,installed,17.0.1.0,"{""en_US"": ""HR Org Chart""}",4,"{""en_US"": ""\nOrg Chart Widget for HR\n=======================\n\nThis module extend the employee form with a organizational chart.\n(N+1, N+2, direct subordinates)\n""}",f,f,f,LGPL-3,100,t,f,,,,,Employees/Employees/Org Chart,"","* INHERIT hr.employee.public.view.form.inherit.org_chart (form)
* INHERIT hr.employee.view.form.inherit.org_chart (form)
* INHERIT res.users.preferences.view.form.inherit.org_chart (form)
hr.departmnent.view.hierarchy (hierarchy)
hr.employee.public.hierarchy.view (hierarchy)
hr.employee.view.hierarchy (hierarchy)",official,
197,,,2024-04-18 10:43:23.662334,2,"","{""en_US"": """"}",l10n_in_sale,Odoo S.A.,/base/static/description/icon.png,installed,17.0.1.0,"{""en_US"": ""Indian - Sale Report(GST)""}",49,"{""en_US"": ""GST Sale Report""}",f,f,f,LGPL-3,100,t,f,,,,,"","","* INHERIT gst_report_saleorder_document_inherit (qweb)
* INHERIT sale.order.form.inherit.l10n.in.sale (form)",official,
