id,company_id,fields_id,value_integer,create_uid,write_uid,name,res_id,value_reference,type,value_text,value_datetime,create_date,write_date,value_float,value_binary
1,,4632,,1,1,default_applicability,,,selection,optional,,2024-04-18 07:41:09.65521,2024-04-18 07:41:09.65521,,
2,,7297,,1,1,Followup Trust Property,,,selection,normal,,2024-04-18 07:46:48.92483,2024-04-18 07:46:48.92483,,
3,1,6347,,1,1,standard_price,"product.product,2",,float,,,2024-04-18 07:47:31.08894,2024-04-18 07:47:31.08894,10,
4,1,7287,,1,1,property_account_receivable_id,,"account.account,2",many2one,,,2024-04-18 07:47:52.331217,2024-04-18 07:47:52.331217,,
5,1,7286,,1,1,property_account_payable_id,,"account.account,22",many2one,,,2024-04-18 07:47:52.331217,2024-04-18 07:47:52.331217,,
6,1,8346,,1,1,property_account_expense_categ_id,,"account.account,50",many2one,,,2024-04-18 07:47:52.331217,2024-04-18 07:47:52.331217,,
7,1,8345,,1,1,property_account_income_categ_id,,"account.account,34",many2one,,,2024-04-18 07:47:52.331217,2024-04-18 07:47:52.331217,,
9,,7287,,2,2,property_account_receivable_id,,"account.account,2",many2one,,,2024-04-18 11:18:12.418893,2024-04-18 11:18:12.418893,,
10,,7286,,2,2,property_account_payable_id,,"account.account,22",many2one,,,2024-04-18 11:18:12.418893,2024-04-18 11:18:12.418893,,
11,,8346,,2,2,property_account_expense_categ_id,,"account.account,50",many2one,,,2024-04-18 11:18:12.418893,2024-04-18 11:18:12.418893,,
12,,8345,,2,2,property_account_income_categ_id,,"account.account,34",many2one,,,2024-04-18 11:18:12.418893,2024-04-18 11:18:12.418893,,
8,1,7277,,2,2,credit_limit,,,float,,,2024-04-18 10:44:04.611907,2024-04-23 09:23:52.461432,0,
