id,model_id,create_uid,write_uid,name,domain_force,active,perm_read,perm_write,perm_create,perm_unlink,global,create_date,write_date
1,96,1,1,res.users.log per user,"[('create_uid','=', user.id)]",t,f,t,t,t,t,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
2,85,1,1,res.partner company,"['|', ('partner_share', '=', False), ('company_id', 'in', company_ids + [False])]",t,t,t,t,t,t,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
3,85,1,1,res_partner: portal/public: read access on my commercial partner,"[('id', 'child_of', user.commercial_partner_id.id)]",t,t,f,f,f,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
4,33,1,1,Defaults: alter personal defaults,"[('user_id','=',user.id)]",t,f,t,t,t,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
5,33,1,1,Defaults: alter all defaults,"[(1,'=',1)]",t,f,t,t,t,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
6,15,1,1,ir.ui.view_custom rule,"[('user_id','=',user.id)]",t,t,t,t,t,t,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
7,88,1,1,Partner bank company rule,"[('company_id', 'in', company_ids + [False])]",t,t,t,t,t,t,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
8,93,1,1,multi-company currency rate rule,"[('company_id', 'in', company_ids + [False])]",t,t,t,t,t,t,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
9,100,1,1,change user password rule,"[('create_uid', '=', user.id)]",t,t,t,t,t,t,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
10,32,1,1,ir.filters.admin.all.rights,"[(1, '=', 1)]",t,t,t,t,t,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
11,32,1,1,ir.filters.owner,"[('user_id','in',[False,user.id])]",t,t,t,t,f,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
12,32,1,1,ir.filters.own.rule.delete,"[('user_id', '=', user.id)]",t,f,f,f,t,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
13,32,1,1,ir.filter: portal/public,"[('user_id', '=', user.id)]",t,t,t,t,t,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
14,94,1,1,company rule portal,"[('id','in', company_ids)]",t,t,t,t,t,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
15,94,1,1,company rule employee,"[('id','in', company_ids)]",t,t,t,t,t,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
16,94,1,1,company rule public,"[('id','in', company_ids)]",t,t,t,t,t,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
17,94,1,1,company rule erp manager,"[(1,'=',1)]",t,t,t,t,t,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
18,98,1,1,users can only access their own id check,"[('create_uid', '=', user.id)]",t,t,t,t,t,t,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
19,97,1,1,user rule,"['|', ('share', '=', False), ('company_ids', 'in', company_ids)]",t,t,t,t,t,t,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
20,101,1,1,change own password,"[('create_uid', '=', user.id)]",t,t,t,t,t,t,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
21,105,1,1,Administrators can access all User Settings.,"[(1, '=', 1)]",t,t,t,t,t,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
22,105,1,1,res.users.settings: access their own entries,"[('user_id', '=', user.id)]",t,t,t,t,t,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
23,102,1,1,Public users can't interact with keys at all,"[(0, '=', 1)]",t,t,t,t,t,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
24,102,1,1,Users can read and delete their own keys,"[('user_id', '=', user.id)]",t,t,t,t,t,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
25,102,1,1,Administrators can view user keys to revoke them,"[(1, '=', 1)]",t,t,t,t,t,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
