id,parent_id,sequence,create_uid,write_uid,relation_field,res_model,name,description,internal,default,hidden,track_recipients,create_date,write_date
1,,0,1,1,,,"{""en_US"": ""Discussions""}",,,t,,t,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
2,,100,1,1,,,"{""en_US"": ""Note""}",,t,f,,t,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
3,,90,1,1,,,"{""en_US"": ""Activities""}",,t,f,,,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
4,,1,1,1,,survey.user_input,"{""en_US"": ""Participation completed""}","{""en_US"": ""Participation completed.""}",,f,t,,2024-04-18 07:41:14.668723,2024-04-18 07:41:14.668723
5,4,1,1,1,survey_id,survey.survey,"{""en_US"": ""Participation completed""}","{""en_US"": ""New participation completed.""}",,f,f,,2024-04-18 07:41:14.668723,2024-04-18 07:41:14.668723
6,,1,1,1,,project.task,"{""en_US"": ""Task Created""}","{""en_US"": ""Task Created""}",,f,t,,2024-04-18 07:41:22.122125,2024-04-18 07:41:22.122125
7,,1,1,1,,project.task,"{""en_US"": ""Stage Changed""}","{""en_US"": ""Stage changed""}",,f,,,2024-04-18 07:41:22.122125,2024-04-18 07:41:22.122125
8,,101,1,1,,project.task,"{""en_US"": ""Task In Progress""}","{""en_US"": ""Task In Progress""}",,f,,,2024-04-18 07:41:22.122125,2024-04-18 07:41:22.122125
9,,102,1,1,,project.task,"{""en_US"": ""Changes Requested""}","{""en_US"": ""Changes Requested""}",,f,,,2024-04-18 07:41:22.122125,2024-04-18 07:41:22.122125
10,,103,1,1,,project.task,"{""en_US"": ""Task Approved""}","{""en_US"": ""Task approved""}",,f,,,2024-04-18 07:41:22.122125,2024-04-18 07:41:22.122125
11,,104,1,1,,project.task,"{""en_US"": ""Task Canceled""}","{""en_US"": ""Task canceled""}",,f,,,2024-04-18 07:41:22.122125,2024-04-18 07:41:22.122125
12,,105,1,1,,project.task,"{""en_US"": ""Task Done""}","{""en_US"": ""Task done""}",,f,,,2024-04-18 07:41:22.122125,2024-04-18 07:41:22.122125
