id,sequence,create_uid,write_uid,done_icon,step_image_filename,panel_step_open_action_name,title,description,button_text,done_text,step_image_alt,is_per_company,create_date,write_date
1,99,1,1,fa-star,,,"{""en_US"": ""Online Payments""}",,"{""en_US"": ""Let's do it""}","{""en_US"": ""Step Completed!""}","{""en_US"": ""Onboarding Step Image""}",t,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
2,1,1,1,fa-star,onboarding_company-data.png,action_open_step_company_data,"{""en_US"": ""Company Data""}","{""en_US"": ""Set your company's data for documents header/footer.""}","{""en_US"": ""Let's start!""}","{""en_US"": ""Looks great!""}","{""en_US"": ""Onboarding Company Data""}",t,2024-04-18 07:46:48.92483,2024-04-18 07:46:48.92483
3,3,1,1,fa-star,onboarding_quotation-layout.png,action_open_step_base_document_layout,"{""en_US"": ""Documents Layout""}","{""en_US"": ""Customize the look of your documents.""}","{""en_US"": ""Customize""}","{""en_US"": ""Looks great!""}","{""en_US"": ""Onboarding Documents Layout""}",t,2024-04-18 07:46:48.92483,2024-04-18 07:46:48.92483
4,4,1,1,fa-star,onboarding_default.png,action_open_step_create_invoice,"{""en_US"": ""Create Invoice""}","{""en_US"": ""Create your first invoice.""}","{""en_US"": ""Create""}","{""en_US"": ""First invoice sent!""}","{""en_US"": ""Onboarding Create Invoice""}",t,2024-04-18 07:46:48.92483,2024-04-18 07:46:48.92483
5,1,1,1,fa-star,onboarding_accounting-periods.png,action_open_step_fiscal_year,"{""en_US"": ""Accounting Periods""}","{""en_US"": ""Define your fiscal years & tax returns periodicity.""}","{""en_US"": ""Configure""}","{""en_US"": ""Step completed!""}","{""en_US"": ""Onboarding Accounting Periods""}",t,2024-04-18 07:46:48.92483,2024-04-18 07:46:48.92483
6,2,1,1,fa-star,onboarding_puzzle.png,action_open_step_bank_account,"{""en_US"": ""Bank Account""}","{""en_US"": ""Connect your financial accounts in seconds.""}","{""en_US"": ""Add a bank account""}","{""en_US"": ""Step Completed!""}","{""en_US"": ""Onboarding Bank Account""}",t,2024-04-18 07:46:48.92483,2024-04-18 07:46:48.92483
7,3,1,1,fa-star,onboarding_taxes.png,action_open_step_default_taxes,"{""en_US"": ""Taxes""}","{""en_US"": ""Set default Taxes for sales and purchase transactions.""}","{""en_US"": ""Review""}","{""en_US"": ""Taxes set!""}","{""en_US"": ""Onboarding Taxes""}",t,2024-04-18 07:46:48.92483,2024-04-18 07:46:48.92483
8,4,1,1,fa-star,onboarding_chart-of-accounts.png,action_open_step_chart_of_accounts,"{""en_US"": ""Chart of Accounts""}","{""en_US"": ""Set up your chart of accounts and record initial balances.""}","{""en_US"": ""Review""}","{""en_US"": ""Chart of accounts set!""}","{""en_US"": ""Onboarding Bank Account""}",t,2024-04-18 07:46:48.92483,2024-04-18 07:46:48.92483
9,1000,1,1,fa-star,,,"{""en_US"": ""Import Vendor Bills""}",,"{""en_US"": ""Let's do it""}","{""en_US"": ""Step Completed!""}","{""en_US"": ""Onboarding Step Image""}",t,2024-04-18 07:46:48.92483,2024-04-18 07:46:48.92483
10,100,1,1,fa-star,onboarding_puzzle.png,action_open_step_sales_tax,"{""en_US"": ""Taxes""}","{""en_US"": ""Choose a default sales tax for your products.""}","{""en_US"": ""Set taxes""}","{""en_US"": ""Step Completed!""}","{""en_US"": ""Onboarding Bank Account""}",t,2024-04-18 07:46:48.92483,2024-04-18 07:46:48.92483
11,10,1,1,fa-star,onboarding_bank-account.png,action_open_step_payment_provider,"{""en_US"": ""Online Payments""}","{""en_US"": ""Enable credit & debit card payments supported by Stripe.""}","{""en_US"": ""Activate Stripe""}","{""en_US"": ""Step Completed!""}","{""en_US"": ""Onboarding Online Payments""}",t,2024-04-18 07:47:04.324243,2024-04-18 07:47:04.324243
12,6,1,1,fa-star,onboarding_default.png,action_open_step_sale_order_confirmation,"{""en_US"": ""Order Confirmation""}","{""en_US"": ""Choose between electronic signatures or online payments.""}","{""en_US"": ""Set payments""}","{""en_US"": ""Step Completed!""}","{""en_US"": ""Onboarding Order Confirmation""}",t,2024-04-18 07:47:12.503609,2024-04-18 07:47:12.503609
13,7,1,1,fa-star,onboarding_sample-quotation.png,action_open_step_sample_quotation,"{""en_US"": ""Sample Quotation""}","{""en_US"": ""Send a quotation to test the customer portal.""}","{""en_US"": ""Send sample""}","{""en_US"": ""Step Completed!""}","{""en_US"": ""Onboarding Sample Quotation""}",t,2024-04-18 07:47:12.503609,2024-04-18 07:47:12.503609
