id,sequence,primary_payment_method_id,create_uid,write_uid,name,code,support_refund,active,support_tokenization,support_express_checkout,create_date,write_date
1,1000,,1,1,7Eleven,7eleven,partial,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
2,1000,,1,1,ACH Direct Debit,ach_direct_debit,partial,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
3,1000,,1,1,Pre-authorized debit in Canada,acss_debit,partial,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
4,1000,,1,1,Affirm,affirm,partial,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
5,1000,,1,1,Afterpay,afterpay,partial,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
6,1000,,1,1,AfterPay,afterpay_riverty,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
7,1000,,1,1,Akulaku PayLater,akulaku,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
8,1000,,1,1,Alipay,alipay,partial,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
9,1000,,1,1,AliPayHK,alipay_hk,partial,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
10,1000,,1,1,Alma,alma,partial,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
11,1000,,1,1,Amazon Pay,amazon_pay,partial,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
12,1000,,1,1,Atome,atome,partial,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
13,1000,,1,1,Axis,axis,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
14,1000,,1,1,BACS Direct Debit,bacs_direct_debit,partial,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
15,1000,,1,1,BancNet,bancnet,,f,f,f,2024-04-18 07:46:42.355457,2024-04-18 07:46:42.355457
