payment_method_id,payment_provider_id
2,1
4,1
5,1
8,1
9,1
10,1
14,1
17,1
27,1
31,1
32,1
40,1
41,1
44,1
47,1
49,1
180,1
52,1
55,1
57,1
58,1
59,1
181,1
65,1
69,1
72,1
73,1
74,1
75,1
86,1
88,1
89,1
91,1
93,1
97,1
98,1
99,1
100,1
101,1
122,1
103,1
112,1
109,1
110,1
113,1
114,1
116,1
120,1
125,1
127,1
129,1
132,1
133,1
141,1
143,1
145,1
149,1
153,1
155,1
156,1
157,1
160,1
40,2
82,2
75,2
185,2
189,2
193,2
27,2
40,3
8,3
157,3
117,3
5,3
44,3
64,3
160,3
110,3
12,3
104,3
130,3
60,3
127,3
63,3
35,3
49,3
141,3
15,3
57,3
109,3
78,3
18,3
77,3
148,3
128,3
21,3
70,3
124,3
142,3
55,3
54,3
62,3
85,3
106,3
120,3
134,3
137,3
144,3
149,3
152,3
135,3
9,3
28,3
89,3
96,3
84,3
146,3
136,3
51,3
68,3
108,3
139,3
2,4
40,4
17,5
23,5
40,5
110,5
65,5
6,5
129,5
8,5
157,5
72,5
143,5
132,5
66,5
138,5
30,5
71,5
26,5
58,5
122,5
118,5
52,5
168,5
40,7
90,7
87,7
24,7
19,7
175,7
110,7
150,7
40,8
24,8
110,8
17,9
24,9
26,9
40,9
52,9
58,9
65,9
110,9
112,9
122,9
132,9
110,10
40,11
95,11
149,11
155,11
129,12
40,13
65,13
132,13
58,13
71,13
110,13
127,13
17,13
81,13
80,13
53,13
46,13
56,13
2,14
3,14
4,14
5,14
8,14
14,14
17,14
25,14
34,14
40,14
41,14
44,14
52,14
55,14
58,14
60,14
65,14
72,14
88,14
91,14
122,14
109,14
110,14
116,14
120,14
126,14
129,14
132,14
149,14
157,14
160,14
1,16
7,16
20,16
22,16
29,16
33,16
38,16
39,16
40,16
42,16
43,16
45,16
47,16
57,16
60,16
67,16
76,16
79,16
83,16
84,16
102,16
123,16
131,16
