id,name,category_id,color,create_uid,write_uid,comment,share,create_date,write_date
3,"{""en_US"": ""Bypass HTML Field Sanitize""}",,,1,1,,,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
29,"{""en_US"": ""User""}",53,,1,1,,,2024-04-18 07:41:18.402745,2024-04-18 07:41:18.402745
8,"{""en_US"": ""Access to export feature""}",4,,1,1,,,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
31,"{""en_US"": ""User""}",65,,1,1,,,2024-04-18 07:41:22.122125,2024-04-18 07:41:22.122125
2,"{""en_US"": ""Access Rights""}",83,,1,1,,,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
5,"{""en_US"": ""Multi Companies""}",84,,1,1,,,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
6,"{""en_US"": ""Multi Currencies""}",84,,1,1,,,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
9,"{""en_US"": ""Contact Creation""}",84,,1,1,,,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
7,"{""en_US"": ""Technical Features""}",84,,1,1,,,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
33,"{""en_US"": ""Use Rating on Project""}",4,,1,1,,,2024-04-18 07:41:22.122125,2024-04-18 07:41:22.122125
12,"{""en_US"": ""Mail Template Editor""}",4,,1,1,,,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
34,"{""en_US"": ""Use Stages on Project""}",4,,1,1,,,2024-04-18 07:41:22.122125,2024-04-18 07:41:22.122125
13,"{""en_US"": ""Receive notifications in Odoo""}",4,,1,1,,,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
50,"{""en_US"": ""Delivery Address""}",4,,1,1,,,2024-04-18 07:46:48.92483,2024-04-18 07:46:48.92483
14,"{""en_US"": ""Officer: Manage all employees""}",21,,1,1,"{""en_US"": ""The user will be able to approve document created by employees.""}",,2024-04-18 07:40:41.811291,2024-04-18 07:40:41.811291
15,"{""en_US"": ""Administrator""}",21,,1,1,"{""en_US"": ""The user will have access to the human resources configuration as well as statistic reports.""}",,2024-04-18 07:40:41.811291,2024-04-18 07:40:41.811291
16,"{""en_US"": ""Admin""}",86,,1,1,,,2024-04-18 07:40:51.67663,2024-04-18 07:40:51.67663
17,"{""en_US"": ""Restricted Editor""}",72,,1,1,,,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475
18,"{""en_US"": ""Editor and Designer""}",72,,1,1,,,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475
4,"{""en_US"": ""Settings""}",83,,1,1,,,2024-04-18 07:38:41.908233,2024-04-18 07:40:52.262475
19,"{""en_US"": ""Public access to arbitrary exposed model""}",4,,1,1,,,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475
51,"{""en_US"": ""Show Accounting Features - Readonly""}",4,,1,1,,,2024-04-18 07:46:48.92483,2024-04-18 07:46:48.92483
52,"{""en_US"": ""Billing""}",2,,1,1,,,2024-04-18 07:46:48.92483,2024-04-18 07:46:48.92483
20,"{""en_US"": ""Multi-website""}",4,,1,1,,,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475
35,"{""en_US"": ""Use Recurring Tasks""}",4,,1,1,,,2024-04-18 07:41:22.122125,2024-04-18 07:41:22.122125
38,"{""en_US"": ""Onboarding todo already generated for those users""}",4,,1,2,,,2024-04-18 07:41:27.909977,2024-04-19 00:19:49.119081
23,"{""en_US"": ""Back Office""}",,,1,1,,,2024-04-18 07:41:05.464971,2024-04-18 07:41:05.464971
24,"{""en_US"": ""Multi Departments""}",84,,1,1,,,2024-04-18 07:41:05.464971,2024-04-18 07:41:05.464971
25,"{""en_US"": ""Manage Multiple Units of Measure""}",4,,1,1,,,2024-04-18 07:41:09.112522,2024-04-18 07:41:09.112522
26,"{""en_US"": ""Analytic Accounting""}",4,,1,1,,,2024-04-18 07:41:09.65521,2024-04-18 07:41:09.65521
27,"{""en_US"": ""User""}",68,,1,1,,,2024-04-18 07:41:14.668723,2024-04-18 07:41:14.668723
28,"{""en_US"": ""Administrator""}",68,,1,1,,,2024-04-18 07:41:14.668723,2024-04-18 07:41:14.668723
30,"{""en_US"": ""Manage Mass Mailing Campaigns""}",4,,1,1,,,2024-04-18 07:41:18.402745,2024-04-18 07:41:18.402745
53,"{""en_US"": ""Show Full Accounting Features""}",4,,1,1,,,2024-04-18 07:46:48.92483,2024-04-18 07:46:48.92483
36,"{""en_US"": ""Use Task Dependencies""}",4,,1,1,,,2024-04-18 07:41:22.122125,2024-04-18 07:41:22.122125
37,"{""en_US"": ""Use Milestones""}",4,,1,1,,,2024-04-18 07:41:22.122125,2024-04-18 07:41:22.122125
32,"{""en_US"": ""Administrator""}",65,,1,1,,,2024-04-18 07:41:22.122125,2024-04-18 07:41:22.122125
22,"{""en_US"": ""Back Office Admin""}",89,,1,1,,,2024-04-18 07:41:05.464971,2024-04-18 10:42:39.074562
21,"{""en_US"": ""Tester""}",89,,1,2,,,2024-04-18 07:41:05.464971,2024-04-21 17:12:52.190809
39,"{""en_US"": ""Basic Pricelists""}",4,,1,1,,,2024-04-18 07:46:34.742613,2024-04-18 07:46:34.742613
40,"{""en_US"": ""Advanced Pricelists""}",4,,1,1,,,2024-04-18 07:46:34.742613,2024-04-18 07:46:34.742613
41,"{""en_US"": ""Manage Product Packaging""}",4,,1,1,,,2024-04-18 07:46:34.742613,2024-04-18 07:46:34.742613
42,"{""en_US"": ""Manage Product Variants""}",4,,1,1,,,2024-04-18 07:46:34.742613,2024-04-18 07:46:34.742613
43,"{""en_US"": ""Discount on lines""}",4,,1,1,,,2024-04-18 07:46:34.742613,2024-04-18 07:46:34.742613
45,"{""en_US"": ""User: All Documents""}",9,,1,1,"{""en_US"": ""the user will have access to all records of everyone in the sales application.""}",,2024-04-18 07:46:37.983166,2024-04-18 07:46:37.983166
47,"{""en_US"": ""Registration Desk""}",18,,1,1,,,2024-04-18 07:46:39.43159,2024-04-18 07:46:39.43159
48,"{""en_US"": ""User""}",18,,1,1,,,2024-04-18 07:46:39.43159,2024-04-18 07:46:39.43159
65,"{""en_US"": ""Quotation Templates""}",4,,1,1,,,2024-04-18 07:47:23.340948,2024-04-18 07:47:23.340948
55,"{""en_US"": ""A warning can be set on a partner (Account)""}",4,,1,1,,,2024-04-18 07:46:48.92483,2024-04-18 07:46:48.92483
56,"{""en_US"": ""Allow the cash rounding management""}",4,,1,1,,,2024-04-18 07:46:48.92483,2024-04-18 07:46:48.92483
57,"{""en_US"": ""Sale Receipt""}",4,,1,1,,,2024-04-18 07:46:48.92483,2024-04-18 07:46:48.92483
58,"{""en_US"": ""Purchase Receipt""}",4,,1,1,,,2024-04-18 07:46:48.92483,2024-04-18 07:46:48.92483
54,"{""en_US"": ""Billing Administrator""}",2,,1,1,,,2024-04-18 07:46:48.92483,2024-04-18 07:46:48.92483
59,"{""en_US"": ""Validate bank account""}",91,,1,1,,,2024-04-18 07:46:48.92483,2024-04-18 07:46:48.92483
60,"{""en_US"": ""User""}",36,,1,1,"{""en_US"": ""The user will be able to join support channels.""}",,2024-04-18 07:47:00.687459,2024-04-18 07:47:00.687459
61,"{""en_US"": ""Administrator""}",36,,1,1,"{""en_US"": ""The user will be able to delete support channels.""}",,2024-04-18 07:47:00.687459,2024-04-18 07:47:00.687459
62,"{""en_US"": ""Lock Confirmed Sales""}",4,,1,1,,,2024-04-18 07:47:12.503609,2024-04-18 07:47:12.503609
63,"{""en_US"": ""A warning can be set on a product or a customer (Sale)""}",4,,1,1,,,2024-04-18 07:47:12.503609,2024-04-18 07:47:12.503609
64,"{""en_US"": ""Pro-forma Invoices""}",4,,1,1,,,2024-04-18 07:47:12.503609,2024-04-18 07:47:12.503609
49,"{""en_US"": ""Administrator""}",18,,1,1,,,2024-04-18 07:46:39.43159,2024-04-18 07:47:17.105443
46,"{""en_US"": ""Administrator""}",9,,1,1,"{""en_US"": ""the user will have an access to the sales configuration as well as statistic reports.""}",,2024-04-18 07:46:37.983166,2024-04-18 07:47:35.565337
66,"{""en_US"": ""Officer""}",73,,1,1,,,2024-04-18 07:47:26.604362,2024-04-18 07:47:26.604362
67,"{""en_US"": ""Manager""}",73,,1,1,,,2024-04-18 07:47:26.604362,2024-04-18 07:47:26.604362
44,"{""en_US"": ""User: Own Documents Only""}",9,,1,1,"{""en_US"": ""the user will have access to his own data in the sales application.""}",,2024-04-18 07:46:37.983166,2024-04-18 07:47:31.08894
68,"{""en_US"": ""UOM Price Display for eCommerce""}",4,,1,1,,,2024-04-18 07:47:35.565337,2024-04-18 07:47:35.565337
69,"{""en_US"": ""Comparison Price""}",4,,1,1,,,2024-04-18 07:47:35.565337,2024-04-18 07:47:35.565337
1,"{""en_US"": ""Internal User""}",75,,,1,,,,2024-04-18 07:47:35.565337
