id,calendar_id,resource_id,sequence,create_uid,write_uid,name,dayofweek,day_period,week_type,display_type,date_from,date_to,create_date,write_date,hour_from,hour_to,duration_days
1,1,,10,1,1,Monday Morning,0,morning,,,,,2024-04-18 07:40:29.4147,2024-04-18 07:40:29.4147,8,12,0.5
3,1,,10,1,1,Monday Afternoon,0,afternoon,,,,,2024-04-18 07:40:29.4147,2024-04-18 07:40:29.4147,13,17,0.5
4,1,,10,1,1,Tuesday Morning,1,morning,,,,,2024-04-18 07:40:29.4147,2024-04-18 07:40:29.4147,8,12,0.5
6,1,,10,1,1,Tuesday Afternoon,1,afternoon,,,,,2024-04-18 07:40:29.4147,2024-04-18 07:40:29.4147,13,17,0.5
7,1,,10,1,1,Wednesday Morning,2,morning,,,,,2024-04-18 07:40:29.4147,2024-04-18 07:40:29.4147,8,12,0.5
9,1,,10,1,1,Wednesday Afternoon,2,afternoon,,,,,2024-04-18 07:40:29.4147,2024-04-18 07:40:29.4147,13,17,0.5
10,1,,10,1,1,Thursday Morning,3,morning,,,,,2024-04-18 07:40:29.4147,2024-04-18 07:40:29.4147,8,12,0.5
12,1,,10,1,1,Thursday Afternoon,3,afternoon,,,,,2024-04-18 07:40:29.4147,2024-04-18 07:40:29.4147,13,17,0.5
13,1,,10,1,1,Friday Morning,4,morning,,,,,2024-04-18 07:40:29.4147,2024-04-18 07:40:29.4147,8,12,0.5
15,1,,10,1,1,Friday Afternoon,4,afternoon,,,,,2024-04-18 07:40:29.4147,2024-04-18 07:40:29.4147,13,17,0.5
2,1,,10,1,1,Monday Lunch,0,lunch,,,,,2024-04-18 07:40:29.4147,2024-04-18 07:40:29.4147,12,13,0
5,1,,10,1,1,Tuesday Lunch,1,lunch,,,,,2024-04-18 07:40:29.4147,2024-04-18 07:40:29.4147,12,13,0
8,1,,10,1,1,Wednesday Lunch,2,lunch,,,,,2024-04-18 07:40:29.4147,2024-04-18 07:40:29.4147,12,13,0
11,1,,10,1,1,Thursday Lunch,3,lunch,,,,,2024-04-18 07:40:29.4147,2024-04-18 07:40:29.4147,12,13,0
14,1,,10,1,1,Friday Lunch,4,lunch,,,,,2024-04-18 07:40:29.4147,2024-04-18 07:40:29.4147,12,13,0
16,2,,10,2,2,Monday Morning,0,morning,,,,,2024-04-18 11:18:12.418893,2024-04-18 11:18:12.418893,8,12,0.5
18,2,,10,2,2,Monday Afternoon,0,afternoon,,,,,2024-04-18 11:18:12.418893,2024-04-18 11:18:12.418893,13,17,0.5
19,2,,10,2,2,Tuesday Morning,1,morning,,,,,2024-04-18 11:18:12.418893,2024-04-18 11:18:12.418893,8,12,0.5
21,2,,10,2,2,Tuesday Afternoon,1,afternoon,,,,,2024-04-18 11:18:12.418893,2024-04-18 11:18:12.418893,13,17,0.5
22,2,,10,2,2,Wednesday Morning,2,morning,,,,,2024-04-18 11:18:12.418893,2024-04-18 11:18:12.418893,8,12,0.5
24,2,,10,2,2,Wednesday Afternoon,2,afternoon,,,,,2024-04-18 11:18:12.418893,2024-04-18 11:18:12.418893,13,17,0.5
25,2,,10,2,2,Thursday Morning,3,morning,,,,,2024-04-18 11:18:12.418893,2024-04-18 11:18:12.418893,8,12,0.5
27,2,,10,2,2,Thursday Afternoon,3,afternoon,,,,,2024-04-18 11:18:12.418893,2024-04-18 11:18:12.418893,13,17,0.5
28,2,,10,2,2,Friday Morning,4,morning,,,,,2024-04-18 11:18:12.418893,2024-04-18 11:18:12.418893,8,12,0.5
30,2,,10,2,2,Friday Afternoon,4,afternoon,,,,,2024-04-18 11:18:12.418893,2024-04-18 11:18:12.418893,13,17,0.5
17,2,,10,2,2,Monday Lunch,0,lunch,,,,,2024-04-18 11:18:12.418893,2024-04-18 11:18:12.418893,12,13,0
20,2,,10,2,2,Tuesday Lunch,1,lunch,,,,,2024-04-18 11:18:12.418893,2024-04-18 11:18:12.418893,12,13,0
23,2,,10,2,2,Wednesday Lunch,2,lunch,,,,,2024-04-18 11:18:12.418893,2024-04-18 11:18:12.418893,12,13,0
26,2,,10,2,2,Thursday Lunch,3,lunch,,,,,2024-04-18 11:18:12.418893,2024-04-18 11:18:12.418893,12,13,0
29,2,,10,2,2,Friday Lunch,4,lunch,,,,,2024-04-18 11:18:12.418893,2024-04-18 11:18:12.418893,12,13,0
