rule_group_id,group_id
3,10
3,11
4,1
5,4
10,2
11,1
12,1
13,10
13,11
14,10
15,1
16,11
17,2
21,4
22,1
23,11
24,10
24,1
25,4
28,11
29,10
29,1
30,4
32,1
33,1
34,1
35,2
38,1
38,10
38,11
39,4
40,1
40,10
40,11
41,1
41,10
41,11
42,1
42,10
42,11
43,1
44,1
45,4
46,1
47,2
48,1
48,10
49,10
49,11
50,1
51,4
52,4
54,1
55,12
55,4
56,1
57,4
62,1
63,14
65,15
66,15
67,4
27,10
68,1
69,14
70,1
71,1
72,14
73,1
75,1
76,1
77,18
78,18
79,4
80,10
80,11
81,11
82,10
83,19
84,22
85,21
86,21
87,22
88,22
89,21
96,1
96,10
97,2
99,28
100,27
101,27
102,28
103,27
104,27
105,28
106,27
107,27
108,28
109,27
110,27
111,28
112,27
113,27
97,14
116,32
117,1
119,1
120,32
121,32
123,31
126,31
127,10
128,10
129,10
130,10
132,1
133,31
134,32
135,32
136,31
137,32
139,1
140,32
141,10
142,32
143,32
144,32
145,1
146,31
147,22
148,21
149,22
156,45
163,1
163,10
163,11
166,52
185,52
186,52
187,10
188,10
189,51
190,51
191,52
192,52
193,52
195,52
196,49
197,61
198,61
199,52
200,11
200,10
204,10
205,10
206,44
207,45
208,44
209,45
210,44
211,45
212,44
213,45
214,44
215,44
216,44
217,45
218,44
219,45
220,44
221,45
226,46
227,46
228,11
228,10
229,11
229,10
230,11
230,10
231,11
231,10
231,1
232,47
233,11
233,10
233,1
234,47
237,46
239,11
240,10
240,1
241,66
242,66
243,67
244,11
244,10
246,11
247,10
247,1
248,66
249,66
250,67
251,66
252,67
253,66
254,67
255,10
255,1
256,66
257,66
258,67
260,11
260,10
263,32
264,11
264,10
265,72
266,71
267,71
268,72
269,72
270,77
271,78
272,77
273,80
274,79
275,82
276,82
277,82
278,82
279,83
280,22
281,83
282,22
283,21
283,22
284,84
285,21
