id,category_id,create_uid,write_uid,uom_type,name,factor,rounding,active,create_date,write_date,l10n_in_code
1,1,1,1,reference,"{""en_US"": ""Units""}",1.0,0.01,t,2024-04-18 07:41:09.112522,2024-04-18 07:47:49.092537,UNT-UNITS
12,2,1,1,reference,"{""en_US"": ""kg""}",1.0,0.01,t,2024-04-18 07:41:09.112522,2024-04-18 07:47:49.092537,KGS-KILOGRAMS
3,3,1,1,reference,"{""en_US"": ""Days""}",1.0,0.01,t,2024-04-18 07:41:09.112522,2024-04-18 07:47:49.092537,OTH-OTHERS
5,4,1,1,reference,"{""en_US"": ""m""}",1.0,0.01,t,2024-04-18 07:41:09.112522,2024-04-18 07:47:49.092537,MTR-METERS
9,5,1,1,reference,"{""en_US"": ""m²""}",1.0,0.01,t,2024-04-18 07:41:09.112522,2024-04-18 07:47:49.092537,SQM-SQUARE METERS
10,6,1,1,reference,"{""en_US"": ""L""}",1.0,0.01,t,2024-04-18 07:41:09.112522,2024-04-18 07:47:49.092537,LTR-LITRES
2,1,1,1,bigger,"{""en_US"": ""Dozens""}",0.08333333333333333,0.01,t,2024-04-18 07:41:09.112522,2024-04-18 07:47:49.092537,DOZ-DOZENS
13,2,1,1,smaller,"{""en_US"": ""g""}",1000.0,0.01,t,2024-04-18 07:41:09.112522,2024-04-18 07:47:49.092537,GMS-GRAMMES
4,3,1,1,smaller,"{""en_US"": ""Hours""}",8.0,0.01,t,2024-04-18 07:41:09.112522,2024-04-18 07:47:49.092537,OTH-OTHERS
15,2,1,1,smaller,"{""en_US"": ""lb""}",2.20462,0.01,t,2024-04-18 07:41:09.112522,2024-04-18 07:47:49.092537,OTH-OTHERS
16,2,1,1,smaller,"{""en_US"": ""oz""}",35.274,0.01,t,2024-04-18 07:41:09.112522,2024-04-18 07:47:49.092537,OTH-OTHERS
17,4,1,1,smaller,"{""en_US"": ""in""}",39.3701,0.01,t,2024-04-18 07:41:09.112522,2024-04-18 07:47:49.092537,OTH-OTHERS
18,4,1,1,smaller,"{""en_US"": ""ft""}",3.28084,0.01,t,2024-04-18 07:41:09.112522,2024-04-18 07:47:49.092537,OTH-OTHERS
20,4,1,1,bigger,"{""en_US"": ""mi""}",0.0006213727366498068,0.01,t,2024-04-18 07:41:09.112522,2024-04-18 07:47:49.092537,OTH-OTHERS
21,5,1,1,smaller,"{""en_US"": ""ft²""}",10.76391,0.01,t,2024-04-18 07:41:09.112522,2024-04-18 07:47:49.092537,OTH-OTHERS
22,6,1,1,smaller,"{""en_US"": ""fl oz (US)""}",33.814,0.01,t,2024-04-18 07:41:09.112522,2024-04-18 07:47:49.092537,OTH-OTHERS
23,6,1,1,smaller,"{""en_US"": ""qt (US)""}",1.05669,0.01,t,2024-04-18 07:41:09.112522,2024-04-18 07:47:49.092537,OTH-OTHERS
25,6,1,1,smaller,"{""en_US"": ""in³""}",61.0237,0.01,t,2024-04-18 07:41:09.112522,2024-04-18 07:47:49.092537,OTH-OTHERS
26,6,1,1,bigger,"{""en_US"": ""ft³""}",0.035314724827664144,0.01,t,2024-04-18 07:41:09.112522,2024-04-18 07:47:49.092537,OTH-OTHERS
14,2,1,1,bigger,"{""en_US"": ""t""}",0.001,0.01,t,2024-04-18 07:41:09.112522,2024-04-18 07:47:49.092537,TON-TONNES
6,4,1,1,smaller,"{""en_US"": ""mm""}",1000.0,0.01,t,2024-04-18 07:41:09.112522,2024-04-18 07:47:49.092537,MLT-MILILITRE
7,4,1,1,bigger,"{""en_US"": ""km""}",0.001,0.01,t,2024-04-18 07:41:09.112522,2024-04-18 07:47:49.092537,KME-KILOMETRE
8,4,1,1,smaller,"{""en_US"": ""cm""}",100.0,0.01,t,2024-04-18 07:41:09.112522,2024-04-18 07:47:49.092537,CMS-CENTIMETERS
11,6,1,1,bigger,"{""en_US"": ""m³""}",0.001,0.01,t,2024-04-18 07:41:09.112522,2024-04-18 07:47:49.092537,CBM-CUBIC METERS
19,4,1,1,smaller,"{""en_US"": ""yd""}",1.09361,0.01,t,2024-04-18 07:41:09.112522,2024-04-18 07:47:49.092537,YDS-YARDS
24,6,1,1,bigger,"{""en_US"": ""gal (US)""}",0.26417217685798894,0.01,t,2024-04-18 07:41:09.112522,2024-04-18 07:47:49.092537,UGS-US GALLONS
