id,page_id,controller_page_id,sequence,website_id,parent_id,create_uid,write_uid,theme_template_id,url,parent_path,mega_menu_classes,name,mega_menu_content,new_window,create_date,write_date
1,,,0,,,1,1,,/default-main-menu,1/,,"{""en_US"": ""Default Main Menu""}",,,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475
2,2,,10,,1,1,1,,/,1/2/,,"{""en_US"": ""Home""}",,,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475
3,3,,60,,1,1,1,,/contactus,1/3/,,"{""en_US"": ""Contact us""}",,,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475
4,,,0,1,,1,1,,/default-main-menu,4/,,"{""en_US"": ""Top Menu for Website 1""}",,f,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475
6,3,,60,1,4,1,1,,/contactus,4/6/,,"{""en_US"": ""Contact us""}",,f,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475
5,4,,10,1,4,1,1,,/,4/5/,,"{""en_US"": ""Home""}",,f,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475
7,,,0,2,,2,2,,/default-main-menu,7/,,"{""en_US"": ""Top Menu for Website 2""}",,f,2024-04-18 07:45:17.149156,2024-04-18 07:45:17.149156
9,3,,60,2,7,2,2,,/contactus,7/9/,,"{""en_US"": ""Contact us""}",,f,2024-04-18 07:45:17.149156,2024-04-18 07:45:17.149156
8,5,,10,2,7,2,2,,/,7/8/,,"{""en_US"": ""Home""}",,f,2024-04-18 07:45:17.149156,2024-04-18 07:45:17.149156
10,6,,50,2,7,2,2,,/about-us,7/10/,,"{""en_US"": ""About Us""}",,,2024-04-18 07:46:31.368951,2024-04-18 07:46:31.368951
11,7,,30,2,7,2,2,,/our-services,7/11/,,"{""en_US"": ""Services""}",,,2024-04-18 07:46:31.368951,2024-04-18 07:46:31.368951
12,8,,35,2,7,2,2,,/pricing,7/12/,,"{""en_US"": ""Pricing""}",,,2024-04-18 07:46:31.368951,2024-04-18 07:46:31.368951
13,,,30,1,4,1,1,,/event,4/13/,,"{""en_US"": ""Events""}",,,2024-04-18 07:47:17.105443,2024-04-18 07:47:17.105443
15,,,30,,1,1,1,,/event,1/15/,,"{""en_US"": ""Events""}",,,2024-04-18 07:47:17.105443,2024-04-18 07:47:17.105443
18,,,50,,1,1,1,,/slides,1/18/,,"{""en_US"": ""Courses""}",,,2024-04-18 07:47:26.604362,2024-04-18 07:47:26.604362
20,,,20,2,7,1,1,,/shop,7/20/,,"{""en_US"": ""Shop""}",,,2024-04-18 07:47:35.565337,2024-04-18 07:47:35.565337
21,,,20,,1,1,1,,/shop,1/21/,,"{""en_US"": ""Shop""}",,,2024-04-18 07:47:35.565337,2024-04-18 07:47:35.565337
22,10,,50,2,7,2,2,,/about-us,7/22/,,"{""en_US"": ""About Us""}",,,2024-04-18 07:48:49.095797,2024-04-18 07:48:49.095797
23,11,,30,2,7,2,2,,/our-services,7/23/,,"{""en_US"": ""Services""}",,,2024-04-18 07:48:49.095797,2024-04-18 07:48:49.095797
24,12,,35,2,7,2,2,,/pricing,7/24/,,"{""en_US"": ""Pricing""}",,,2024-04-18 07:48:49.095797,2024-04-18 07:48:49.095797
25,14,,50,2,7,2,2,,/about-us,7/25/,,"{""en_US"": ""About Us""}",,,2024-04-18 07:49:08.338608,2024-04-18 07:49:08.338608
26,15,,30,2,7,2,2,,/our-services,7/26/,,"{""en_US"": ""Services""}",,,2024-04-18 07:49:08.338608,2024-04-18 07:49:08.338608
27,16,,35,2,7,2,2,,/pricing,7/27/,,"{""en_US"": ""Pricing""}",,,2024-04-18 07:49:08.338608,2024-04-18 07:49:08.338608
14,,,20,2,7,1,2,,/event,7/14/,,"{""en_US"": ""Events""}",,,2024-04-18 07:47:17.105443,2024-04-18 07:49:08.338608
17,,,25,2,7,1,2,,/slides,7/17/,,"{""en_US"": ""Courses""}",,,2024-04-18 07:47:26.604362,2024-04-18 07:49:08.338608
19,,,20,1,4,1,2,,/services,4/19/,,"{""en_US"": ""Services""}",,,2024-04-18 07:47:35.565337,2024-04-18 11:06:58.675103
16,,,50,1,4,1,2,,/about,4/16/,,"{""en_US"": ""About us""}",,,2024-04-18 07:47:26.604362,2024-04-18 11:06:59.087301
