id,website_id,view_id,create_uid,write_uid,theme_template_id,url,header_color,header_text_color,is_published,website_indexed,header_overlay,header_visible,footer_visible,date_publish,create_date,write_date
1,,582,1,1,,/contactus-thank-you,,,t,f,,t,t,,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475
2,,580,1,1,,/,,,t,t,,t,t,,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475
3,,581,1,1,,/contactus,,,t,t,,t,t,,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475
5,2,1772,2,2,,/,,,t,t,f,t,t,,2024-04-18 07:45:17.149156,2024-04-18 07:45:17.149156
6,2,1777,2,2,,/about-us,,,t,t,,t,t,,2024-04-18 07:46:31.368951,2024-04-18 07:46:31.368951
7,2,1778,2,2,,/our-services,,,t,t,,t,t,,2024-04-18 07:46:31.368951,2024-04-18 07:46:31.368951
8,2,1779,2,2,,/pricing,,,t,t,,t,t,,2024-04-18 07:46:31.368951,2024-04-18 07:46:31.368951
9,2,1780,2,2,,/privacy,,,t,t,,t,t,,2024-04-18 07:46:31.368951,2024-04-18 07:46:31.368951
10,2,2808,2,2,,/about-us,,,t,t,,t,t,,2024-04-18 07:48:49.095797,2024-04-18 07:48:49.095797
11,2,2809,2,2,,/our-services,,,t,t,,t,t,,2024-04-18 07:48:49.095797,2024-04-18 07:48:49.095797
12,2,2810,2,2,,/pricing,,,t,t,,t,t,,2024-04-18 07:48:49.095797,2024-04-18 07:48:49.095797
13,2,2811,2,2,,/privacy,,,t,t,,t,t,,2024-04-18 07:48:49.095797,2024-04-18 07:48:49.095797
14,2,2812,2,2,,/about-us,,,t,t,,t,t,,2024-04-18 07:49:08.338608,2024-04-18 07:49:08.338608
15,2,2813,2,2,,/our-services,,,t,t,,t,t,,2024-04-18 07:49:08.338608,2024-04-18 07:49:08.338608
16,2,2814,2,2,,/pricing,,,t,t,,t,t,,2024-04-18 07:49:08.338608,2024-04-18 07:49:08.338608
17,2,2815,2,2,,/privacy,,,t,t,,t,t,,2024-04-18 07:49:08.338608,2024-04-18 07:49:08.338608
4,1,588,1,2,,/,,,t,t,f,t,t,,2024-04-18 07:40:52.262475,2024-04-18 11:07:30.394652
