id,website_id,partner_id,country_id,lang_id,visit_count,create_uid,write_uid,access_token,timezone,create_date,last_connection_datetime,write_date,livechat_operator_id
1,1,18,,1,6,2,2,18,Asia/Kolkata,2024-04-18 07:42:26.271701,2024-04-22 14:39:26.076485,2024-04-22 14:38:59.741668,
7,1,,,1,1,4,4,ab809d8a870f712e8f535cdab7485213,,2024-04-18 07:58:54.426751,2024-04-18 07:58:54.426751,2024-04-18 07:58:54.426751,
9,1,,,1,1,4,4,f86519aca78690ae1683bff54d804878,Asia/Calcutta,2024-04-18 08:01:11.490351,2024-04-18 08:01:11.490351,2024-04-18 08:01:11.490351,
103,1,,,1,1,4,4,de147cb81e6165571e78ed22e37a4caf,Asia/Calcutta,2024-04-20 06:01:10.93696,2024-04-20 06:01:10.93696,2024-04-20 06:01:10.93696,
138,1,,,1,1,4,4,b7b26747a61cb30a65a43994b7af6835,Asia/Kolkata,2024-04-22 14:58:00.46924,2024-04-22 14:58:05.322125,2024-04-22 14:58:00.46924,
108,1,,,1,1,4,4,798be8870ae7b8be5bc12b1adf885681,Asia/Kolkata,2024-04-20 09:33:12.909016,2024-04-20 09:33:12.909016,2024-04-20 09:33:12.909016,
136,1,17,,1,2,4,2,17,Asia/Calcutta,2024-04-22 14:39:46.785902,2024-04-23 04:47:16.242049,2024-04-23 04:46:53.652736,
111,1,,,1,1,4,4,e547d8a2c9add771d91d522d6dabafa8,Asia/Calcutta,2024-04-20 09:53:29.058112,2024-04-20 09:53:29.058112,2024-04-20 09:53:29.058112,
66,1,,,1,1,4,4,a1d8e371060f2e445a2283a21b7ad4c9,,2024-04-18 10:56:09.552017,2024-04-18 10:56:09.552017,2024-04-18 10:56:09.552017,
19,1,8,,1,1,4,4,8,Asia/Calcutta,2024-04-18 09:30:02.119842,2024-04-18 09:34:11.857126,2024-04-18 09:34:10.114981,
147,1,19,,1,1,13,13,19,Asia/Calcutta,2024-04-23 09:01:03.43111,2024-04-23 09:01:03.43111,2024-04-23 09:01:03.43111,
148,1,,,1,1,4,4,8811864a9c482a9ec75da4d27a4c26e9,,2024-04-23 09:26:21.881212,2024-04-23 09:26:21.881212,2024-04-23 09:26:21.881212,
118,1,,,1,1,4,4,60654f1123e3de6e6450a7be15cd42ca,Asia/Calcutta,2024-04-21 17:58:58.095678,2024-04-21 17:59:10.5094,2024-04-21 17:58:58.095678,
146,1,,,1,1,4,4,c00259a2b8ffb2a69e26fd331a3218f3,Asia/Calcutta,2024-04-23 07:38:40.730676,2024-04-23 10:14:50.3971,2024-04-23 07:38:40.730676,
124,1,,,1,1,4,4,80348fcd93d35e1f44c601b09bbf7753,,2024-04-22 09:51:58.504539,2024-04-22 09:51:58.504539,2024-04-22 09:51:58.504539,
142,1,3,,1,2,2,2,3,Asia/Calcutta,2024-04-23 06:43:21.876654,2024-04-24 08:24:12.278543,2024-04-24 05:27:58.138656,
87,1,,,1,1,4,4,15eb6b9dcd3fd503b03ca4dac737fcde,,2024-04-18 16:57:28.310429,2024-04-18 16:57:28.310429,2024-04-18 16:57:28.310429,
88,1,,,1,1,4,4,4b6f4bb2985150e5a18d27ed084d5f0a,,2024-04-18 16:57:29.664683,2024-04-18 16:57:29.664683,2024-04-18 16:57:29.664683,
89,1,,,1,1,4,4,c43799ba16c834452d125371be687598,,2024-04-18 22:46:25.003907,2024-04-18 22:46:25.003907,2024-04-18 22:46:25.003907,
90,1,,,1,1,4,4,3177ce5b12c3cb874f7a2de27bb67e25,,2024-04-19 05:16:05.539625,2024-04-19 05:16:05.539625,2024-04-19 05:16:05.539625,
91,1,,,1,1,4,4,791a87548ef58a6eb6da60c312e3c3b7,,2024-04-19 06:18:47.893459,2024-04-19 06:18:47.893459,2024-04-19 06:18:47.893459,
92,1,13,,1,1,8,8,13,Asia/Calcutta,2024-04-19 11:43:31.982228,2024-04-19 11:45:04.359756,2024-04-19 11:43:31.982228,
